,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
427,andre rocha,DAL,M,27,26,2151,3,8,47,21,1,0/0,1,2,0.13,6.4,4,4,4,0.33,52,22,1,6,1,44.68,2008,reg,0,135000,135000
428,jack jewsbury,KC ,M,29,29,2548,3,7,47,18,2,2/2,2,1,0.11,6.4,3,5,2,0.25,33,37,3,6,0,38.3,2008,reg,1,55000,55000
429,dane richards,NY ,M,23,18,1553,3,6,28,11,0,0/0,3,0,0.17,10.7,3,3,3,0.35,35,28,19,2,0,39.29,2008,reg,1,33000,33000
430,christian gomez,COL,M,20,17,1423,3,6,36,18,0,2/2,2,1,0.19,8.3,1,3,3,0.38,15,30,7,2,0,50.0,2008,reg,0,385000,430000
431,brian mullan,HOU,D,30,28,2343,3,5,18,8,2,0/0,2,1,0.12,16.7,1,2,3,0.19,34,41,12,2,0,44.44,2008,reg,1,156240,165552.5
432,atiba harris,CHV,D,28,23,2014,3,5,42,15,2,0/0,3,0,0.13,7.1,2,5,0,0.22,73,50,10,8,0,35.71,2008,reg,1,57000,60000
433,stuart holden,HOU,M,27,18,1652,3,4,35,15,2,0/1,3,0,0.16,8.6,2,4,0,0.22,26,34,1,3,0,42.86,2008,reg,1,33075,33075
434,josh wolff,KC ,F,12,11,949,3,3,17,6,1,0/0,1,2,0.28,17.6,0,3,0,0.28,13,11,15,1,0,35.29,2008,reg,1,200004,200004
436,abe thompson,DAL,F,21,11,972,3,2,21,10,0,0/0,2,1,0.28,14.3,0,2,0,0.19,14,6,11,1,0,47.62,2008,reg,1,33000,33000
437,eddie gaven,CLB,M,24,22,1848,3,2,30,12,1,0/0,1,2,0.15,10.0,0,2,0,0.1,11,43,7,2,0,40.0,2008,reg,1,165000,165000
438,kenny deuchar,RSL,F,29,18,1557,3,2,41,18,0,0/0,1,2,0.17,7.3,0,1,1,0.12,29,30,18,4,0,43.9,2008,reg,1,135000,145000
439,kyle beckerman,RSL,M,30,30,2683,3,2,45,22,2,0/0,3,0,0.1,6.7,1,0,2,0.07,38,45,4,5,0,48.89,2008,reg,1,143000,145500
441,abdoulie mansally,NE ,D,17,11,979,3,1,14,8,0,0/0,0,3,0.28,21.4,1,0,1,0.09,22,26,9,1,0,57.14,2008,reg,1,33000,33000
442,sasha victorine,CHV,M,21,16,1466,3,1,24,11,1,0/0,2,1,0.18,12.5,0,1,0,0.06,16,23,2,3,0,45.83,2008,reg,1,151250,153750
444,jason garey,CLB,F,10,0,128,3,0,11,7,0,0/0,2,1,2.11,27.3,0,0,0,0.0,1,1,3,1,0,63.64,2008,reg,1,48125,60625
445,justin mapp,CHI,M,30,26,2229,2,8,42,21,1,0/0,0,2,0.08,4.8,3,7,1,0.32,13,40,7,1,0,50.0,2008,reg,1,165000,200000
447,paulo nagamura,CHV,M,24,24,2062,2,3,17,7,0,0/0,1,1,0.09,11.8,1,2,1,0.13,47,31,0,8,1,41.18,2008,reg,1,93712.5,93712.5
448,khano smith,NE ,M,23,18,1515,2,3,26,10,1,0/0,1,1,0.12,7.7,1,2,1,0.18,27,23,5,3,1,38.46,2008,reg,1,46305,46305
449,michael harrington,KC ,D,30,30,2597,2,2,5,4,0,0/0,1,1,0.07,40.0,1,1,1,0.07,32,22,1,4,0,80.0,2008,reg,1,49600,67100
450,marvell wynne,TOR,D,24,24,2115,2,2,9,5,0,0/0,1,1,0.09,22.2,1,0,2,0.09,17,14,3,1,0,55.56,2008,reg,0,47500,150000
451,jonathan bornstein,CHI,D,21,19,1679,2,2,10,6,1,0/0,1,1,0.11,20.0,0,0,2,0.11,22,15,3,3,0,60.0,2008,reg,1,77500,77500
452,carey talley,CHV,D,20,18,1605,2,2,12,6,0,1/1,0,2,0.11,16.7,1,0,2,0.11,29,15,1,4,0,50.0,2008,reg,1,105000,105000
453,tomasz frankowski,CHI,F,17,7,628,2,2,14,11,0,0/0,2,0,0.29,14.3,1,2,0,0.29,3,8,8,0,0,78.57,2008,reg,1,198000,214250
454,gonzalo segares,CHI,D,23,23,2013,2,2,16,7,0,0/0,0,2,0.09,12.5,0,1,1,0.09,40,23,1,8,0,43.75,2008,reg,1,58590,61090
455,kevin goldthwaite,NY ,D,28,28,2438,2,2,17,6,1,0/0,2,0,0.07,11.8,0,1,1,0.07,42,27,0,7,1,35.29,2008,reg,1,68750,77750
457,clyde simms,DC ,M,30,30,2697,2,2,24,11,1,0/0,2,0,0.07,8.3,0,1,1,0.07,30,17,1,5,0,45.83,2008,reg,0,57750,59000
458,ramiro corrales,SJ ,M,22,22,1895,2,2,29,7,0,0/0,1,1,0.09,6.9,1,2,0,0.09,29,27,1,5,0,24.14,2008,reg,0,190000,202500
459,ryan cochrane,SJ ,D,19,17,1535,2,1,3,2,2,0/0,2,0,0.12,66.7,0,1,0,0.06,27,7,2,5,0,66.67,2008,reg,0,132000,133250
460,stephen king,CHI,M,20,8,854,2,1,13,7,1,0/0,1,1,0.21,15.4,0,1,0,0.11,3,8,0,0,0,53.85,2008,reg,1,17700,17700
462,emmanuel ekpo,CLB,M,17,7,742,2,1,14,7,1,0/0,2,0,0.24,14.3,0,0,1,0.12,10,6,2,1,0,50.0,2008,reg,1,101500,123750
463,drew moor,COL,D,27,27,2430,2,1,18,5,0,0/0,1,1,0.07,11.1,0,1,0,0.04,17,29,0,5,0,27.78,2008,reg,0,132000,149188.89
464,ricardo clark,HOU,M,25,25,2205,2,1,25,9,0,0/0,1,1,0.08,8.0,0,0,1,0.04,32,34,0,6,0,36.0,2008,reg,1,225500,225500
465,sainey nyassi,NE ,M,25,18,1661,2,1,28,13,1,0/0,1,1,0.11,7.1,0,1,0,0.05,31,39,3,7,0,46.43,2008,reg,1,33000,33000
466,mike petke,COL,D,11,10,831,2,0,4,2,1,0/0,0,2,0.22,50.0,0,0,0,0.0,7,5,0,2,0,50.0,2008,reg,0,133000,133000
467,marco velez,TOR,D,23,23,1973,2,0,6,4,0,0/0,1,1,0.09,33.3,0,0,0,0.0,23,5,0,3,2,66.67,2008,reg,0,60000,60500
468,francis doe,DC ,F,12,4,435,2,0,9,7,1,0/0,2,0,0.41,22.2,0,0,0,0.0,7,3,14,0,0,77.78,2008,reg,0,33000,40500
469,calen carr,CHI,F,9,2,274,2,0,9,4,0,0/0,1,1,0.66,22.2,0,0,0,0.0,4,2,0,0,0,44.44,2008,reg,1,50600,63100
470,john cunliffe,SJ ,F,12,4,389,2,0,10,3,0,0/0,0,2,0.46,20.0,0,0,0,0.0,10,8,2,1,0,30.0,2008,reg,0,35500,50500
471,jamison olave,RSL,D,23,23,2006,2,0,10,4,0,0/0,2,0,0.09,20.0,0,0,0,0.0,33,17,0,9,0,40.0,2008,reg,1,80000,80000
472,shea salinas,SJ,M,23,2,544,2,0,12,6,0,1/1,1,1,0.33,16.7,0,0,0,0.0,8,10,2,1,0,50.0,2008,reg,0,33000,33000
474,adam moffat,CLB,M,7,6,513,2,0,15,4,1,0/0,2,0,0.35,13.3,0,0,0,0.0,10,1,1,3,0,26.67,2008,reg,1,17700,17700
475,danleigh borman,NY ,D,15,7,721,2,0,16,5,0,0/0,1,1,0.25,12.5,0,0,0,0.0,4,4,5,1,0,31.25,2008,reg,1,17700,17700
476,will johnson,RSL,D,9,9,810,2,0,17,10,1,0/0,1,1,0.22,11.8,0,0,0,0.0,10,13,0,2,0,58.82,2008,reg,1,39000,52571.43
