,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
613,joey melo,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
614,israel sesay,LA ,F,2,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2008,reg,0,45000,77083.33
615,pat carroll,DC ,D,4,3,186,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2008,reg,0,12900,12900
617,john gilkerson,NY ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
619,nathan sturgis,RSL,M,3,2,118,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,0,0,0,,2008,reg,1,75000,108000
620,mike munoz,LA ,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
621,nikolas besagno,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,100000,136500
623,dustin kirby,RSL,D,1,0,3,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,17700,17700
624,jeff rowland,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,17700,17700
625,anthony wallace,DAL,D,5,4,259,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,,2008,reg,0,70000,103000
628,erik ustruck,HOU,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
629,nick hatzke,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
630,cj brown,CHI,D,3,2,194,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,1,1,,2008,reg,1,111711,111711
632,ben olsen,DC ,M,1,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2008,reg,0,215000,215000
634,ibrahim koroma,DC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,17700,17700
635,dasan robinson,CHI,D,5,1,132,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,,2008,reg,1,44625,44625
636,brian plotkin,CHI,M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
638,kevin burns,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
639,tim ward,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,44620,54620
640,michael gavin,LA ,D,2,1,69,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,17700,17700
641,julian valentin,LA ,D,1,1,54,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2008,reg,0,12900,12900
642,sam brill,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
643,rob valentino,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,36000,53500
645,spencer wadsworth,DAL,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
646,adam smarte,SJ ,F,3,1,104,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,1,0,,2008,reg,0,17700,17700
648,jamil roberts,SJ ,D,1,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,17700,17700
650,gerson mayen,SLV,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
651,cory elenio,CLB,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
652,jay ayres,SJ ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,17700,17700
653,david horst,RSL,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2008,reg,1,33000,33000
655,alex nimo,RSL,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,45000,78000
656,brennan tennelle,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
657,kevin reiman,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
658,brek shea,MIA,D,2,0,17,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,1,0,,2008,reg,0,45000,78000
660,ryan miller,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
661,george josten,CLB,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
662,jeremy barlow,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
663,peter lowry,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
664,austin washington,CHI,D,1,1,60,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2008,reg,1,12900,12900
665,kai kasiguran,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
666,ciaran obrien,COL,M,1,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,1,,2008,reg,0,45000,78750
667,cesar zambrano,COL,M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2008,reg,0,12900,12900
669,brian grazier,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
671,rauwshan mckenzie,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
672,stephen wondolowski,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
673,johnny alcaraz,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
674,brandon tyler,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
676,brandon manzonelli,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
678,joe germanese,NE ,M,1,0,20,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
679,derek gaudet,TOR,F,1,0,27,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
682,scott bolkan,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
683,vardan adzemian,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
684,ricardo pierrelouis,CLB,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,17700,17700
685,michael ghebru,SJ ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
687,gordon kljestan,NY ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
688,kwame sarkodie,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
689,stanley nyazamba,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
694,eduardo dominguez,LA ,D,3,2,155,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,,2008,reg,0,192000,192000
695,kilian elkinson,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
696,matt hatzke,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,0,12900,12900
699,sainey touray,NY ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2008,reg,1,12900,12900
701,nelson pizarro,KC ,M,3,0,40,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,2,0,0,0.0,2008,reg,1,12900,12900
702,pat phelan,NE ,M-D,11,5,467,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,100.0,2008,reg,1,33000,33000
704,jovan kirovski,COL,M-F,9,1,154,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,0,2,1,0,0.0,2008,reg,0,220000,220000
706,craig thompson,DC ,M,6,2,241,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,1,2,0,100.0,2008,reg,0,12900,12900
707,eric ebert,CHV,D,7,2,256,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,0.0,2008,reg,1,12900,12900
708,dan stratford,DC ,M,5,1,81,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,0.0,2008,reg,0,17700,17700
709,gabriel cichero,NY ,D,8,8,631,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,8,0,3,1,100.0,2008,reg,1,156000,157500
710,gabe gala,TOR,M,1,0,12,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,100.0,2008,reg,0,12900,12900
711,anthony hamilton,CHV,F,5,0,47,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2008,reg,1,17700,17700
712,ryan junge,CLB,D,5,3,283,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2008,reg,1,12900,12900
713,lawson vaughn,CHV,D,7,7,436,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,5,0,1,0,0.0,2008,reg,1,33000,33000
716,todd dunivant,TOR,D,9,5,412,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,1,0,0,50.0,2008,reg,0,104737.5,104737.5
717,carlos mendes,NY ,D,17,10,964,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,5,0,2,0,50.0,2008,reg,1,70986.56,70986.56
718,amaechi igwe,NE ,D,11,6,568,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,9,0,5,0,0.0,2008,reg,1,70000,103000
719,ugo ihemelu,COL,D,18,16,1493,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,18,0,3,0,0.0,2008,reg,0,60500,60500
720,stephen keel,COL,D,6,6,540,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,0.0,2008,reg,0,17700,17700
721,kosuke kimura,COL,D,18,17,1438,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,7,0,2,0,0.0,2008,reg,0,17700,17700
722,alex zotinca,CHV,D,4,4,337,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,0,0,0,0,100.0,2008,reg,1,70875,72125
723,domenic mediate,DC ,M,8,4,437,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,2,1,2,0,50.0,2008,reg,0,33000,33000
724,chris wondolowski,SJ,F,8,1,125,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,2,1,0,0.0,2008,reg,1,33000,33000
725,duncan oughton,CLB,D,5,1,174,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,1,1,0,50.0,2008,reg,1,75600,75600
726,jed zayner,CLB,D,6,2,200,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,50.0,2008,reg,1,36300,43800
728,wade barrett,HOU,D,26,26,2328,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,10,0,3,0,50.0,2008,reg,1,148838,148838
729,tyrone marshall,TOR,D,24,23,2019,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,15,0,4,0,0.0,2008,reg,0,150000,153750
730,gabriel badilla,NE ,D,6,5,423,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,6,0,1,1,50.0,2008,reg,1,138000,138000
731,davide somma,SJ ,F,3,0,47,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,0,0,0.0,2008,reg,0,12900,12900
733,greg janicki,DC ,D,3,3,216,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,0.0,2008,reg,0,12900,12900
735,ian joy,RSL,D,19,18,1377,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,26,8,1,4,1,33.33,2008,reg,1,120000,120000
736,troy roberts,LA ,D,17,14,1316,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,9,0,2,0,33.33,2008,reg,0,33000,33000
737,kyle brown,HOU,F,4,1,123,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,3,0,0,0.0,2008,reg,1,33000,33000
738,kenny cutler,RSL,M,11,5,454,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,33.33,2008,reg,1,36000,36000
741,tyson wahl,KC ,D,16,16,1327,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,6,0,1,0,66.67,2008,reg,1,33000,33000
743,jonathan leathers,KC ,D,15,12,1093,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,9,0,1,0,25.0,2008,reg,1,17700,17700
744,chance myers,KC ,D,10,7,681,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,9,0,0,0,40.0,2008,reg,1,70000,130000
745,roberto nurse,PAN,F,5,2,241,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,7,0,0,60.0,2008,reg,1,12900,12900
746,michael dellorusso,DAL,D-M,8,1,288,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,1,0,0,40.0,2008,reg,0,33000,33000
747,claudio suarez,CHV,D,14,13,1080,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,4,0,1,1,60.0,2008,reg,1,125000,137500
748,ezra hendrickson,CLB,D,13,7,688,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,1,0,3,0,60.0,2008,reg,1,72000,72000
751,logan pause,CHI,M,27,27,2430,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,23,30,0,1,0,20.0,2008,reg,1,81730,84230
752,gavin glinton,SJ ,F,6,4,287,0,0,6,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,3,0,0,50.0,2008,reg,0,60000,60000
753,robbie russell,RSL,D,11,7,683,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,3,1,1,0,33.33,2008,reg,1,95016,100767.43
755,blake wagner,DAL,D-M,24,23,2068,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,29,1,2,0,0.0,2008,reg,0,36300,48800
756,bobby burling,CHV,D,20,18,1659,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,12,1,3,0,14.29,2008,reg,1,17700,17700
757,shavar thomas,CHV,D,19,18,1553,0,0,7,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,10,0,7,0,28.57,2008,reg,1,95000,98750
759,kevin harmse,TOR,M,16,13,1077,0,0,7,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,10,0,4,1,28.57,2008,reg,0,72000,72000
760,luke sassano,NY ,D,18,11,954,0,0,8,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,13,1,2,0,12.5,2008,reg,1,17700,17700
761,gino padula,CLB,D,14,14,1227,0,0,8,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,9,0,2,0,12.5,2008,reg,1,120000,145000
762,eddie robinson,HOU,D,20,19,1570,0,0,8,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,23,1,6,2,50.0,2008,reg,1,131250,131250
763,pablo mastroeni,COL,M,25,23,2004,0,0,9,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,33,24,1,5,0,11.11,2008,reg,0,300000,318000
764,marco pappa,CHI,M,6,3,217,0,0,9,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,1,2,0,44.44,2008,reg,1,33000,33000
765,oscar echeverry,NY ,F,9,7,581,0,0,10,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,13,6,1,0,40.0,2008,reg,1,80000,80000
766,chris albright,NE ,D,26,26,2340,0,0,10,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,19,0,3,0,20.0,2008,reg,1,160000,160000
767,clint mathis,RSL,M,11,6,590,0,0,12,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,1,0,2,0,25.0,2008,reg,1,99999.96,99999.96
768,jeff parke,NY ,D,24,23,2025,0,0,12,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,25,30,0,3,1,25.0,2008,reg,1,57487.5,58737.5
769,kelly gray,COL,D-M,15,8,842,0,0,13,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,7,0,5,0,23.08,2008,reg,0,38247,40579.13
770,andy herron,CHI,F,17,4,529,0,0,15,5,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,13,0,0,33.33,2008,reg,1,90000,102500
772,conor casey,COL,F,24,24,2087,16,1,73,31,2,4/6,7,9,0.69,21.9,1,1,0,0.04,62,41,19,9,0,42.47,2009,reg,0,200000,200000
773,fredy montero,VAN,F,27,27,2217,12,7,86,32,4,0/1,7,5,0.49,14.0,0,6,1,0.28,47,62,33,5,1,37.21,2009,reg,1,155000,155000
774,landon donovan,LA ,M-F,25,23,2152,12,6,56,29,3,3/3,5,7,0.5,21.4,0,4,2,0.25,25,38,11,1,0,51.79,2009,reg,1,900000,900000
776,guillermo barros schelotto,CLB,F,24,21,1816,12,3,53,25,3,3/4,6,6,0.59,22.6,1,2,1,0.15,22,33,16,4,0,47.17,2009,reg,1,650000,775000
777,juan pablo angel,NY ,F,25,25,2133,12,2,81,37,1,2/3,10,2,0.51,14.8,1,1,1,0.08,22,18,34,2,0,45.68,2009,reg,0,1500000,1798000
779,ryan johnson,SJ ,F,30,27,2241,11,2,59,35,3,1/1,6,5,0.44,18.6,0,1,1,0.08,43,28,28,3,0,59.32,2009,reg,0,70000,70000
780,josh wolff,KC ,F,27,27,2348,11,0,62,30,3,0/0,3,8,0.42,17.7,0,0,0,0.0,29,25,28,2,1,48.39,2009,reg,0,200004,200004
781,luciano emilio,DC ,F,27,23,2070,10,2,59,29,3,0/0,5,5,0.43,16.9,1,1,1,0.09,17,18,23,1,1,49.15,2009,reg,0,720000,758857.14
782,nate jaqua,SEA,F,28,27,2278,9,7,47,16,2,0/0,6,3,0.36,19.1,2,4,3,0.28,47,35,21,6,1,34.04,2009,reg,1,189996,208121
783,jaime moreno,DC ,F,24,11,1240,9,3,22,14,1,6/6,7,2,0.65,40.9,0,1,2,0.22,12,17,6,1,1,63.64,2009,reg,0,350000,355000
784,omar cummings,COL,F,28,28,2474,8,12,82,34,2,0/1,4,4,0.29,9.8,3,8,4,0.44,23,41,20,3,0,41.46,2009,reg,0,65000,73750
785,shalrie joseph,NE ,M,27,24,2228,8,8,29,12,2,1/1,3,5,0.32,27.6,2,7,1,0.32,28,39,16,3,1,41.38,2009,reg,1,425000,450000
786,david ferreira,DAL,M,30,30,2692,8,7,51,22,0,0/0,5,3,0.27,15.7,3,4,3,0.23,23,58,12,3,0,43.14,2009,reg,0,300000,300000
787,brian ching,HOU,F,19,18,1549,8,3,28,15,1,0/0,7,1,0.46,28.6,0,2,1,0.17,24,37,21,4,2,53.57,2009,reg,1,242550,242550
788,eduardo lillingston,CHV,F,25,15,1263,8,2,38,18,3,1/1,4,4,0.57,21.1,0,2,0,0.14,37,16,28,6,0,47.37,2009,reg,1,96000,96000
789,yura movsisyan,RSL,F,26,19,1731,8,2,64,29,2,0/0,6,2,0.42,12.5,0,1,1,0.1,22,24,10,3,0,45.31,2009,reg,1,60582.5,70582.5
791,claudio lopez,KC ,F,29,28,2501,7,8,72,35,1,2/2,5,2,0.25,9.7,1,4,4,0.29,18,18,21,5,1,48.61,2009,reg,0,180000,180000
792,steve ralston,NE ,M,20,17,1543,7,7,18,11,2,4/4,7,0,0.41,38.9,3,3,4,0.41,4,12,2,2,0,61.11,2009,reg,1,150000,150000
793,brian mcbride,CHI,F,22,22,1963,7,2,47,22,1,1/2,3,4,0.32,14.9,0,1,1,0.09,9,33,7,0,0,46.81,2009,reg,1,360000,385333.33
795,stuart holden,HOU,M,26,26,2340,6,4,33,15,5,2/2,4,2,0.23,18.2,2,3,1,0.15,24,28,1,1,0,45.45,2009,reg,1,34728.75,34728.75
796,christian gomez,DC ,M,27,20,1612,6,4,33,18,1,2/2,1,5,0.33,18.2,3,3,1,0.22,19,27,4,5,0,54.55,2009,reg,0,255000,321250
797,kei kamara,COL,F,28,24,2177,6,1,52,23,3,0/0,5,1,0.25,11.5,1,0,1,0.04,53,37,14,4,0,44.23,2009,reg,0,55385,65385
798,chris rolfe,CHI,F,28,20,1854,6,1,62,26,3,0/0,0,6,0.29,9.7,0,0,1,0.05,10,22,2,5,0,41.94,2009,reg,1,95550,100250
799,eddie gaven,CLB,M,30,27,2420,6,0,41,21,3,1/1,6,0,0.22,14.6,0,0,0,0.0,27,45,3,3,0,51.22,2009,reg,1,173250,173250
800,brad davis,HOU,M,27,26,2207,5,12,46,21,2,0/1,3,2,0.2,10.9,3,8,4,0.49,29,51,5,4,2,45.65,2009,reg,1,132300,132300
801,cuauhtemoc blanco,CHI,M,21,15,1452,5,8,39,17,1,3/3,2,3,0.31,12.8,3,4,4,0.5,10,39,8,2,0,43.59,2009,reg,1,2769240,2943702
802,amado guevara,TOR,M,25,24,1999,5,6,49,20,2,0/1,3,2,0.23,10.2,1,3,3,0.27,34,22,3,3,0,40.82,2009,reg,0,300000,323750
803,marco pappa,CHI,M,30,28,2314,5,4,60,29,1,0/0,2,3,0.19,8.3,1,0,4,0.16,28,29,5,2,0,48.33,2009,reg,1,42000,42000
804,sacha kljestan,LA,M,25,24,2041,5,3,48,23,1,1/2,5,0,0.22,10.4,1,2,1,0.13,33,34,2,7,0,47.92,2009,reg,1,170000,203000
805,chad barrett,TOR,F,29,27,2069,5,3,55,25,0,0/0,1,4,0.22,9.1,0,2,1,0.13,23,18,15,5,1,45.45,2009,reg,0,195000,202500
806,chris wondolowski,SJ,F,21,11,1141,5,2,31,13,1,1/1,2,3,0.39,16.1,0,2,0,0.16,9,10,6,4,0,41.94,2009,reg,0,34650,34650
807,arturo alvarez,SJ ,M,23,20,1848,5,2,53,22,1,1/1,3,2,0.24,9.4,0,2,0,0.1,27,31,6,5,0,41.51,2009,reg,0,174750,184087.5
808,davy arnaud,KC ,M,25,25,2214,5,2,57,17,1,0/0,3,2,0.2,8.8,0,2,0,0.08,37,34,4,7,0,29.82,2009,reg,0,220000,228750
809,edson buddle,LA ,F,19,13,1255,5,0,32,16,2,0/0,3,2,0.36,15.6,0,0,0,0.0,36,16,11,1,0,50.0,2009,reg,1,169950,179950
810,atiba harris,CHV,D,26,25,2139,4,7,38,19,2,0/0,2,2,0.17,10.5,3,5,2,0.29,55,27,12,8,1,50.0,2009,reg,0,62700,65700
811,pablo campos,RSL,F,25,14,1011,4,5,21,16,2,1/1,3,1,0.36,19.0,1,1,4,0.45,29,20,7,3,0,76.19,2009,reg,1,65000,69846.72
812,macoumba kandji,NY ,F,23,20,1752,4,5,47,24,2,0/0,4,0,0.21,8.5,1,5,0,0.26,43,47,10,2,0,51.06,2009,reg,0,70000,90988.37
813,steve zakuani,SEA,M,29,24,1993,4,4,46,21,2,0/0,1,3,0.18,8.7,1,3,1,0.18,9,26,12,1,0,45.65,2009,reg,1,65000,163000
814,cam weaver,HOU,F,17,9,772,4,3,18,11,1,0/0,1,3,0.47,22.2,1,2,1,0.35,20,15,8,1,1,61.11,2009,reg,1,64980,73230
815,chris pontius,DC ,M,28,23,2113,4,3,56,23,1,0/0,1,3,0.17,7.1,0,1,2,0.13,25,35,12,5,0,41.07,2009,reg,0,36000,66000
816,jason garey,CLB,F,15,8,705,4,2,16,12,2,0/0,3,1,0.51,25.0,0,1,1,0.26,8,6,6,1,0,75.0,2009,reg,1,52937.5,65437.5
817,paulo nagamura,CHV,M,27,25,2263,4,2,24,11,2,0/0,4,0,0.16,16.7,1,2,0,0.08,31,26,1,7,1,45.83,2009,reg,1,98398.13,98398.13
818,maykel galindo,CHV,F,23,15,1476,4,2,25,16,1,1/1,3,1,0.24,16.0,1,2,0,0.12,22,29,24,3,1,64.0,2009,reg,1,87725,87725
819,patrick nyarko,CHI,F-M,30,22,1983,4,2,33,20,2,0/0,2,2,0.18,12.1,0,0,2,0.09,22,35,37,0,0,60.61,2009,reg,1,80000,160000
820,cornell glen,SJ ,F,12,6,481,4,1,22,14,0,1/1,3,1,0.75,18.2,0,1,0,0.19,6,12,6,0,0,63.64,2009,reg,0,73020,87895
821,alejandro moreno,CLB,F,22,17,1605,4,1,24,12,1,0/0,2,2,0.22,16.7,1,1,0,0.06,27,37,23,4,0,50.0,2009,reg,1,132300,137300
822,chad marshall,CLB,D,18,18,1580,4,0,18,12,3,0/0,3,1,0.23,22.2,0,0,0,0.0,15,12,1,1,1,66.67,2009,reg,1,250000,320000
