,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
289,Jeremy Vuolo,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,44000,44000
290,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,33750,33750
291,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,33750,33750
293,Patrick McLain,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,33750,33750
294,Scott Angevine,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,33756,33756
295,Tim Murray,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,44100,44100
297,Evan Newton,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,33756,33756
298,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,44000,44000
299,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,33750,33750
300,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,62500,66125.78
301,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,44000,45000
302,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,44004,44004
303,Stefan Frei,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,120000,175000
304,Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,44004,44004
305,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,60000,60000
306,William Hesmer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,0,170000,181000
307,Jay Nolly,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,78250,78250
308,Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,1,69850,69850
309,Jimmy Nielsen,KC ,GK,34,34,3060,100,68,30,0.88,1/1,17,10,7,13,50.0,68.0,2013,reg,1,200000,220000
310,Luis Robles,MIA,GK,34,34,3060,147,103,41,1.21,7/10,17,9,8,11,50.0,70.1,2013,reg,1,75000,77500
311,Tally Hall,HOU,GK,34,34,3060,141,95,41,1.21,2/4,14,11,9,9,41.2,67.4,2013,reg,1,185000,198500
312,Zac MacMath,RSL,GK,34,34,3060,147,101,44,1.29,1/1,12,12,10,12,35.3,68.7,2013,reg,0,110000,155000
313,Joe Bendik,PHI,GK,33,33,2970,139,90,46,1.39,2/2,6,16,11,4,18.2,64.7,2013,reg,0,46500,46500
314,Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,4/6,14,12,7,8,42.4,69.0,2013,reg,1,225000,246833.33
315,Jon Busch,SJ ,GK,33,33,2970,142,101,41,1.24,3/3,13,11,9,9,39.4,71.1,2013,reg,0,165000,176333.33
316,Clint Irwin,COL,GK,32,31,2873,132,91,35,1.13,6/8,14,9,9,10,43.8,68.9,2013,reg,1,35125,35125
317,Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,4/5,13,5,14,14,40.6,73.0,2013,reg,1,275000,300000
318,Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,3/4,6,17,8,3,19.4,62.7,2013,reg,0,192500,194166.67
319,Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,2/2,12,9,6,10,42.9,66.7,2013,reg,1,210000,285000
320,Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,3/4,12,10,6,6,42.9,70.5,2013,reg,0,120000,153000
321,Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,1/3,14,7,6,9,51.9,73.2,2013,reg,1,200000,210833.33
322,Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,2/3,7,10,9,7,26.9,68.2,2013,reg,0,150000,237500
323,Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,4/6,2,17,6,4,8.0,67.2,2013,reg,0,75000,89750
325,Carlo Cudicini,LA ,GK,21,21,1890,68,39,27,1.29,0/1,9,8,4,7,42.9,57.4,2013,reg,1,150000,150000
326,Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,2/2,5,11,5,4,23.8,71.0,2013,reg,0,92220,93886.67
327,David Ousted,VAN,GK,13,13,1170,54,37,16,1.23,1/1,4,5,4,4,30.8,68.5,2013,reg,0,150000,166156.25
328,Matt Lampson,CLB,GK,13,13,1170,63,43,18,1.38,3/3,7,6,0,5,53.8,68.3,2013,reg,0,46500,46500
329,Matt Reis,NE ,GK,12,12,995,37,29,8,0.67,0/0,7,0,4,5,58.3,78.4,2013,reg,1,165000,167666.67
330,Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,2/2,6,3,2,2,54.5,70.0,2013,reg,0,66000,68600
331,Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,0/0,3,4,3,1,30.0,73.8,2013,reg,0,180500,189916.67
332,Jaime Penedo,LA ,GK,9,9,810,31,24,7,0.78,0/0,4,1,4,4,44.4,77.4,2013,reg,1,78000,81562.5
333,Joe Willis,NSH,GK,9,9,810,47,28,20,2.22,1/1,1,7,1,1,11.1,59.6,2013,reg,0,46500,46500
334,Chris Seitz,DC,GK,8,8,720,36,24,11,1.38,0/0,4,2,2,2,50.0,66.7,2013,reg,0,90000,90000
335,Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,0/0,2,3,1,0,33.3,50.0,2013,reg,0,46500,46500
336,Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,3/3,1,2,1,1,20.0,58.3,2013,reg,1,46500,46500
338,Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,0/0,2,2,0,1,50.0,60.0,2013,reg,1,60000,60000
340,Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,0/0,1,1,1,0,33.3,72.2,2013,reg,1,90000,95250
341,Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0/0,0,1,0,0,0.0,50.0,2013,reg,1,190000,212933.33
342,Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,1/1,0,1,0,0,0.0,40.0,2013,reg,0,46500,46500
343,Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,1/1,0,2,0,0,0.0,53.3,2013,reg,0,60000,65000
344,Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,0/0,1,0,1,1,50.0,70.0,2013,reg,1,49612,49612
345,Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,1/1,0,1,0,0,0.0,66.7,2013,reg,0,145000,200000
346,Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0/0,0,1,0,0,0.0,83.3,2013,reg,1,60000,70333.33
347,David Bingham,LA,GK,1,1,90,8,7,1,1.0,0/0,1,0,0,0,100.0,87.5,2013,reg,0,78100,122475
348,Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2013,reg,1,46500,46500
349,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,65000,66250
351,Luis Soffner,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,35125,35125
352,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,35125,35125
353,Daniel Withrow,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,35125,35125
354,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,35125,35125
355,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,35125,35125
356,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,35125,35125
357,Evan Newton,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,46500
358,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,60000,63263.75
359,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,63500
361,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,80000,87666.67
362,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,46500,46500
363,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,46500
365,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,46500,46500
366,Simon Thomas,CAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,35125,35125
367,Andrew Dykstra,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,46500
368,Brian Perk,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,55000,58125
369,Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,76835,76835
370,Chris Konopka,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,46500
371,Kevin Hartman,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,1,46500,54000
372,Oka Nikolov,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,0,46500,46500
373,Jon Busch,SJ ,GK,34,34,3060,191,137,50,1.47,8/10,6,16,12,6,17.6,71.7,2014,reg,0,173250,184583.33
374,Luis Robles,MIA,GK,34,34,3060,171,111,50,1.47,8/10,13,10,11,6,38.2,64.9,2014,reg,1,100000,125000
375,David Ousted,VAN,GK,34,34,3060,140,96,40,1.18,5/5,12,8,14,13,35.3,68.6,2014,reg,0,250000,266156.25
376,Stefan Frei,SEA,GK,34,34,3060,149,99,50,1.47,6/7,20,10,4,9,58.8,66.4,2014,reg,1,150000,150000
378,Dan Kennedy,CHV,GK,33,33,2957,155,93,57,1.73,3/4,9,18,6,6,27.3,60.0,2014,reg,0,211750,213416.67
379,Sean Johnson,NYC,GK,33,33,2970,149,96,49,1.48,6/8,6,9,18,6,18.2,64.4,2014,reg,0,250000,253000
380,Donovan Ricketts,POR,GK,32,32,2861,151,105,44,1.38,7/7,12,7,12,7,37.5,69.5,2014,reg,0,260000,260000
382,Bill Hamid,DC,GK,30,30,2700,146,110,34,1.13,5/5,14,9,7,10,46.7,75.3,2014,reg,1,100000,114750
383,Zac MacMath,RSL,GK,29,29,2610,125,77,45,1.55,4/7,9,10,10,5,31.0,61.6,2014,reg,0,120000,120000
384,Jaime Penedo,LA ,GK,29,29,2610,115,81,33,1.14,3/3,15,7,7,8,51.7,70.4,2014,reg,1,135000,138562.5
385,Joe Bendik,PHI,GK,27,27,2430,125,82,45,1.67,4/5,8,11,8,4,29.6,65.6,2014,reg,0,140000,147375
386,Clint Irwin,COL,GK,26,25,2336,125,73,49,1.96,6/7,7,15,4,7,26.9,58.4,2014,reg,0,75000,87000
387,Tally Hall,HOU,GK,24,24,2150,115,67,44,1.83,7/8,8,12,4,7,33.3,58.3,2014,reg,0,200000,213500
388,Nick Rimando,RSL,GK,24,24,2160,97,71,25,1.04,1/5,13,4,7,7,54.2,73.2,2014,reg,1,225000,235833.33
389,Raul Fernandez,DAL,GK,21,20,1818,95,66,25,1.25,3/4,9,8,3,4,42.9,69.5,2014,reg,1,160000,247500
390,Troy Perkins,MTL,GK,21,21,1890,102,66,35,1.67,4/5,4,12,5,5,19.0,64.7,2014,reg,0,250000,271833.33
391,Eric Kronberg,KC ,GK,20,20,1800,73,45,22,1.1,5/5,7,8,5,7,35.0,61.6,2014,reg,0,120000,120000
392,Chris Seitz,DC,GK,14,14,1242,67,44,20,1.43,0/1,7,4,3,2,50.0,65.7,2014,reg,1,105000,105000
393,Evan Bush,MTL,GK,13,13,1170,79,52,23,1.77,2/2,2,6,5,3,15.4,65.8,2014,reg,0,48825,48825
394,Tyler Deric,HOU,GK,11,10,910,53,36,14,1.4,2/3,3,5,2,3,27.3,67.9,2014,reg,0,90000,97666.67
395,Andy Gruenebaum,KC ,GK,11,11,945,45,34,12,1.09,1/1,6,3,2,3,54.5,75.6,2014,reg,0,85000,85000
396,Jeff Attinella,POR,GK,10,10,900,60,45,14,1.4,3/5,2,4,4,3,20.0,75.0,2014,reg,1,48825,48825
398,John Berner,COL,GK,5,5,450,12,6,6,1.2,0/0,1,1,3,2,20.0,50.0,2014,reg,0,36500,36500
399,Joe Nasco,COL,GK,4,4,271,19,13,7,1.75,0/0,0,2,1,0,0.0,68.4,2014,reg,0,50000,52693.83
402,Andrew Dykstra,DC ,GK,4,4,360,9,6,3,0.75,0/1,3,0,1,2,75.0,66.7,2014,reg,1,48825,48825
403,Andrew Weber,POR,GK,3,2,198,16,8,8,4.0,2/3,0,2,1,0,0.0,50.0,2014,reg,0,48500.04,48500.04
405,Tim Melia,SKC,GK,2,1,79,4,1,3,3.0,0/0,0,1,0,0,0.0,25.0,2014,reg,0,70000,75000
406,Brian Perk,LA ,GK,2,2,180,3,2,1,0.5,0/0,1,0,1,1,50.0,66.7,2014,reg,1,60000,63125
407,Brad Knighton,NE,GK,2,2,180,12,6,6,3.0,1/1,1,1,0,0,50.0,50.0,2014,reg,1,78100,80700
408,Trevor Spangenberg,CHV,GK,1,0,22,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0,2014,reg,0,36504,36504
409,Andre Blake,PHI,GK,1,1,90,8,7,2,2.0,0/0,0,1,0,0,0.0,87.5,2014,reg,0,75000,113000
410,Kyle Reynish,CHI,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,2014,reg,0,74000,78316.67
411,Chris Konopka,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,60000,60000
412,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,65000,65000
414,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,72000,72000
415,David Bingham,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,85910,130285
416,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,66000,69493.44
418,Joe Willis,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,48825,48825
419,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,48500,50239.94
420,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,36504,36504
421,Billy Knutsen,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,36504,36504
422,Larry Jackson,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,36504,36504
423,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,48825,48825
424,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,68250,69500
425,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,48500,48500
426,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,36504,36504
429,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,36504,36504
431,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,48500,48500
432,Luis Soffner,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,36500,36500
433,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,48500,48500
434,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,0,48500,48500
435,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,1,48500,48500
436,Luis Robles,MIA,GK,34,34,3060,131,86,43,1.26,2/3,18,10,6,9,52.9,65.6,2015,reg,1,130000,151375
437,David Ousted,VAN,GK,34,34,3060,137,99,36,1.06,2/6,16,13,5,13,47.1,72.3,2015,reg,1,286000,302570
438,David Bingham,LA,GK,34,34,3060,147,105,39,1.15,4/6,13,13,8,12,38.2,71.4,2015,reg,0,130000,137750
439,Steve Clark,POR,GK,34,34,3060,168,114,53,1.56,4/4,15,11,8,6,44.1,67.9,2015,reg,1,170000,188333.33
440,Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,4/4,15,10,8,13,45.5,66.7,2015,reg,1,260000,260000
441,Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,6/7,10,16,7,4,30.3,65.4,2015,reg,0,90000,90000
442,Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,2/3,14,10,6,10,45.2,77.1,2015,reg,1,165000,165000
444,Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,5/5,10,13,8,7,32.3,64.0,2015,reg,0,105000,112666.67
445,Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,6/7,15,12,4,9,48.4,69.7,2015,reg,1,100000,100000
446,Clint Irwin,COL,GK,31,31,2790,125,88,38,1.23,3/3,8,13,10,8,25.8,70.4,2015,reg,0,85000,97000
447,Bill Hamid,DC,GK,25,25,2250,133,101,29,1.16,0/1,11,9,5,8,44.0,75.9,2015,reg,1,360000,405500
448,Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,5/8,8,9,7,8,33.3,71.0,2015,reg,0,350000,370000
449,Tally Hall,ORL,GK,23,23,2064,114,73,41,1.78,4/5,10,8,5,5,43.5,64.0,2015,reg,0,215000,228500
450,Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,2/2,11,8,4,8,47.8,72.6,2015,reg,1,80000,84203.33
451,Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,3/3,5,11,5,4,23.8,65.6,2015,reg,0,250000,253000
452,Donovan Ricketts,LA ,GK,21,21,1890,92,58,32,1.52,4/4,7,9,5,3,33.3,63.0,2015,reg,1,260000,260000
453,Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,4/6,11,7,3,4,52.4,67.4,2015,reg,1,66000,66000
454,Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,3/4,7,5,4,5,43.8,62.5,2015,reg,1,233000,233000
456,Joe Bendik,PHI,GK,13,13,1170,72,45,27,2.08,2/2,4,8,1,1,30.8,62.5,2015,reg,1,150000,157375
457,Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,0/0,3,8,1,1,25.0,61.4,2015,reg,0,85000,90000
458,Brian Sylvestre,PHI,GK,12,12,1080,50,30,19,1.58,1/2,5,6,1,5,41.7,60.0,2015,reg,0,60000,60000
459,John McCarthy,MIA,GK,11,11,990,41,22,18,1.64,2/2,3,5,3,2,27.3,53.7,2015,reg,0,60000,66250
460,Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,2/4,7,3,1,5,63.6,78.7,2015,reg,1,60000,69375
461,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,2/2,3,6,1,1,30.0,62.5,2015,reg,0,60000,65083.33
462,Andrew Dykstra,DC ,GK,9,9,778,57,40,16,1.78,0/1,3,4,1,0,33.3,70.2,2015,reg,1,60000,60000
464,Chris Seitz,DC,GK,7,7,630,27,17,10,1.43,0/1,4,2,1,3,57.1,63.0,2015,reg,1,130000,130000
466,Andre Blake,PHI,GK,6,6,540,34,26,9,1.5,1/1,2,3,1,2,33.3,76.5,2015,reg,0,85000,123000
468,Troy Perkins,SEA,GK,4,3,316,15,12,3,1.0,0/0,1,3,0,0,25.0,80.0,2015,reg,1,130000,136662.5
469,Eric Kronberg,MTL,GK,3,3,270,11,6,5,1.67,0/0,0,1,2,0,0.0,54.5,2015,reg,1,132000,132000
470,Brad Knighton,NE,GK,3,3,270,16,9,6,2.0,2/2,1,1,1,1,33.3,56.3,2015,reg,1,82005,82005
471,Joe Willis,NSH,GK,3,3,270,10,5,5,1.67,0/0,1,1,1,0,33.3,50.0,2015,reg,0,90000,90000
473,Zac MacMath,RSL,GK,3,3,270,12,6,5,1.67,0/0,1,2,0,1,33.3,50.0,2015,reg,0,130000,130000
474,Josh Ford,ORL,GK,2,1,96,6,5,1,1.0,1/1,0,1,0,0,0.0,83.3,2015,reg,0,60000,60000
475,Travis Worra,DC ,GK,1,0,32,1,1,0,0.0,0/0,1,0,0,0,100.0,100.0,2015,reg,1,50000,50000
476,Alec Kann,ATL,GK,1,1,90,8,6,2,2.0,1/1,0,1,0,0,0.0,75.0,2015,reg,0,60000,60000
477,Ryan Meara,RBNY,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2015,reg,0,71663,72913
478,Andrew Weber,POR,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2015,reg,1,60000,60000
479,Kyle Reynish,NYR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,86000,90316.67
481,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,72600,72600
482,Brian Perk,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
483,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,80000,80000
485,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,0,60000,60000
487,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
488,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
489,Eirik Johansen,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,0,50000.04,50000.04
490,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,0,60000,60000
491,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
492,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
495,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,50000,50000
496,Alex Bono,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,80200
497,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,60000,60000
498,John Berner,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,0,60000,60000
499,Trevor Spangenberg,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,50000,50000
500,Andrew Wolverton,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,1,50000.04,50000.04
501,Tomas Gomez,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2015,reg,0,50000,50000
502,David Bingham,LA,GK,34,34,3015,146,106,39,1.15,4/4,8,12,14,8,23.5,72.6,2016,reg,0,145000,152750
503,Joe Bendik,PHI,GK,34,34,3060,178,114,60,1.76,4/7,9,11,14,5,26.5,64.0,2016,reg,0,140000,147666.67
504,Luis Robles,MIA,GK,34,34,3060,143,100,44,1.29,3/4,16,9,9,11,47.1,69.9,2016,reg,1,265000,267500
505,Evan Bush,MTL,GK,33,33,2931,155,101,50,1.52,4/5,11,11,11,6,33.3,65.2,2016,reg,1,117500,117500
506,David Ousted,VAN,GK,33,33,2970,166,110,52,1.58,6/8,10,15,8,6,30.3,66.3,2016,reg,0,360000,378933.33
507,Josh Saunders,NYC,GK,33,33,2970,158,98,56,1.7,5/6,14,10,9,8,42.4,62.0,2016,reg,1,150000,150000
508,Stefan Frei,SEA,GK,33,33,2970,137,91,41,1.24,6/8,14,13,6,8,42.4,66.4,2016,reg,1,200000,206250
509,Steve Clark,POR,GK,32,32,2880,161,112,51,1.59,4/5,8,12,12,8,25.0,69.6,2016,reg,0,220000,238333.33
510,Andre Blake,PHI,GK,32,32,2880,150,99,50,1.56,0/1,10,13,9,6,31.3,66.0,2016,reg,1,100000,138000
512,Nick Rimando,RSL,GK,30,30,2700,137,91,40,1.33,3/5,11,9,10,6,36.7,66.4,2016,reg,1,400000,420000
513,Jake Gleeson,POR,GK,28,27,2470,160,118,40,1.48,6/6,11,11,6,6,39.3,73.8,2016,reg,0,91556,96722.67
514,Chris Seitz,DC,GK,28,28,2520,95,63,29,1.04,3/4,14,5,9,10,50.0,66.3,2016,reg,1,136000,136000
515,Tim Melia,SKC,GK,27,27,2430,95,66,30,1.11,3/4,11,11,5,8,40.7,69.5,2016,reg,1,150000,152500
516,Joe Willis,NSH,GK,26,24,2275,129,89,39,1.63,5/6,5,12,9,5,19.2,69.0,2016,reg,0,94500,94500
517,Sean Johnson,NYC,GK,22,22,1980,106,68,37,1.68,1/1,6,10,6,5,27.3,64.2,2016,reg,0,250000,253000
519,Bill Hamid,DC,GK,20,20,1800,93,68,25,1.25,3/3,8,3,9,5,40.0,73.1,2016,reg,1,325000,370500
520,Clint Irwin,COL,GK,19,19,1690,76,50,23,1.21,2/2,6,6,6,6,31.6,65.8,2016,reg,1,95625,107625
521,Tim Howard,COL,GK,17,17,1530,73,54,19,1.12,4/7,6,3,8,7,35.3,74.0,2016,reg,1,2100000,2575000
522,Zac MacMath,RSL,GK,17,17,1530,57,39,13,0.76,0/1,9,3,5,6,52.9,68.4,2016,reg,1,140004,140004
523,Alex Bono,TOR,GK,16,15,1370,60,42,16,1.07,1/1,8,3,5,4,50.0,70.0,2016,reg,1,65000,85200
524,Brad Knighton,NE,GK,13,13,1153,49,31,16,1.23,3/3,6,5,1,2,46.2,63.3,2016,reg,0,86105.25,86105.25
