,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Base Salary,Base Guaranteed Comp.
461,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,68915.07,68915.07
462,Calle Brown,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,67500,67500
463,Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,55650,55650
464,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,67500,67500
465,Connor Sparrow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54504,54504
466,Travis Worra,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,68906.25,68906.25
467,Charlie Lyon,LFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,67500,67500
468,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54500.04,54500.04
469,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54500.04,54500.04
470,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54500.04,54500.04
471,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,67500,67500
472,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,55654.2,55654.2
473,Eric Dick,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54500.04,57949.58
474,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,54500.04,54500.04
475,Vito Mannone,MIN,GK,34,34,3060,175,129,43,1.26,3/4,15,11,8,11,44.1,73.7,2019,reg,540000.0,594000.0
476,Brad Guzan,ATL,GK,34,34,3060,135,91,43,1.26,3/5,18,12,4,14,52.9,67.4,2019,reg,680004.0,740004.0
477,Daniel Vega,SJ,GK,34,34,3060,164,108,55,1.62,4/7,13,16,5,7,38.2,65.9,2019,reg,200000.04,210000.04
478,Stefan Frei,SEA,GK,34,34,3060,165,116,49,1.44,5/5,16,10,8,10,47.1,70.3,2019,reg,325000.08,337500.08
479,Bill Hamid,DC,GK,33,33,2970,168,126,37,1.12,1/5,12,10,11,14,36.4,75.0,2019,reg,461820.0,487495.0
480,Luis Robles,MIA,GK,33,33,2970,138,88,50,1.52,6/7,13,14,6,9,39.4,63.8,2019,reg,490000.08,490000.08
481,David Bingham,LA,GK,33,33,2970,195,141,55,1.67,6/8,16,14,3,8,48.5,72.3,2019,reg,375000.0,375000.0
482,Tim Melia,SKC,GK,32,32,2880,173,111,60,1.88,1/4,10,15,7,6,31.3,64.2,2019,reg,325008.0,341674.67
483,Evan Bush,MTL,GK,32,32,2880,144,84,59,1.84,6/7,11,17,4,7,34.4,58.3,2019,reg,232000.08,294666.75
485,Jesse Gonzalez,DAL,GK,32,32,2880,128,84,42,1.31,5/7,13,11,8,8,40.6,65.6,2019,reg,217500.0,231500.0
486,Sean Johnson,NYC,GK,29,29,2610,116,78,36,1.24,8/10,14,5,10,7,48.3,67.2,2019,reg,399999.96,399999.96
487,Nick Rimando,RSL,GK,29,29,2610,113,75,35,1.21,3/4,14,11,4,10,48.3,66.4,2019,reg,300000.0,322500.0
488,Quentin Westberg,TOR,GK,28,28,2505,115,75,41,1.46,7/10,9,9,9,4,32.1,65.2,2019,reg,100000.08,115254.08
489,Tyler Miller,MIN,GK,28,28,2520,103,72,28,1.0,2/2,18,2,8,9,64.3,69.9,2019,reg,77565.0,77565.0
490,Joe Willis,NSH,GK,27,27,2430,133,88,44,1.63,7/7,10,13,4,3,37.0,66.2,2019,reg,165000.0,172833.33
491,Andre Blake,PHI,GK,26,26,2304,103,59,41,1.58,3/4,11,10,5,3,42.3,57.3,2019,reg,500004.0,550004.0
492,Maxime Crepeau,VAN,GK,26,26,2340,159,114,46,1.77,7/7,7,13,6,5,26.9,71.7,2019,reg,90000.0,94083.33
493,Tim Howard,COL,GK,25,25,2159,117,73,46,1.84,5/6,8,12,4,5,32.0,62.4,2019,reg,2000000.04,2475000.04
494,Steve Clark,POR,GK,24,24,2160,109,84,25,1.04,3/4,13,6,5,6,54.2,77.1,2019,reg,140000.04,140000.04
495,Matt Turner,NE,GK,20,20,1766,116,87,27,1.35,1/1,8,4,7,5,40.0,75.0,2019,reg,75937.56,75937.56
496,Kenneth Kronholm,CHI,GK,20,20,1800,87,58,27,1.35,3/3,6,6,8,5,30.0,66.7,2019,reg,87996.0,150996.0
497,Spencer Richey,CIN,GK,19,19,1710,106,61,45,2.37,2/5,5,12,2,2,26.3,57.5,2019,reg,71666.88,71666.88
498,Przemyslaw Tyton,CIN,GK,15,15,1350,62,32,30,2.0,1/2,1,10,4,3,6.7,51.6,2019,reg,231750.0,328438.0
499,David Ousted,CHI,GK,14,14,1260,56,34,20,1.43,1/2,4,6,4,4,28.6,60.7,2019,reg,268181.88,361136.43
501,Eloy Room,CLB,GK,12,12,1080,47,33,14,1.17,2/2,5,2,5,1,41.7,70.2,2019,reg,300000.0,354694.33
502,Clint Irwin,COL,GK,11,9,901,58,42,17,1.89,2/3,4,4,2,1,36.4,72.4,2019,reg,126000.0,138707.24
503,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,3/3,1,7,2,0,10.0,62.5,2019,reg,174999.96,187249.96
504,Brad Knighton,NE,GK,8,7,662,29,16,13,1.86,1/1,1,3,4,0,12.5,55.2,2019,reg,111253.32,116253.32
505,Zac MacMath,RSL,GK,8,8,720,52,37,13,1.63,1/1,1,3,4,0,12.5,71.2,2019,reg,189999.96,189999.96
506,Alex Bono,TOR,GK,7,6,555,28,16,11,1.83,3/3,4,1,2,1,57.1,57.1,2019,reg,350000.04,382000.04
507,Cody Cropper,HOU,GK,7,7,630,49,29,17,2.43,2/2,2,4,1,1,28.6,59.2,2019,reg,77519.52,77519.52
508,Tyler Deric,HOU,GK,7,7,630,36,19,15,2.14,0/0,2,5,0,0,28.6,52.8,2019,reg,159999.96,167499.96
509,Matt Freese,PHI,GK,6,5,437,23,13,7,1.4,2/2,1,1,2,0,16.7,56.5,2019,reg,70000.08,77650.08
510,Joe Bendik,PHI,GK,6,6,540,27,14,12,2.0,1/1,0,5,1,0,0.0,51.9,2019,reg,144000.0,144000.0
511,Pablo Sisniega,LAFC,GK,6,6,540,26,17,9,1.5,0/1,3,2,1,0,50.0,65.4,2019,reg,105000.0,105000.0
512,Andrew Putna,RSL,GK,5,5,450,19,12,6,1.2,0/1,2,2,1,2,40.0,63.2,2019,reg,70875.0,70875.0
513,Brad Stuver,NYC,GK,5,5,450,14,10,6,1.2,0/0,4,1,0,1,80.0,71.4,2019,reg,99999.96,99999.96
516,Jimmy Maurer,DAL,GK,2,2,180,12,8,4,2.0,0/1,0,1,1,0,0.0,66.7,2019,reg,125000.04,127500.04
517,Clement Diop,MTL,GK,2,2,180,7,6,1,0.5,0/0,1,0,1,1,50.0,85.7,2019,reg,94500.0,98190.0
519,Adrian Zendejas,NSH,GK,1,1,90,4,3,1,1.0,1/1,0,0,1,0,0.0,75.0,2019,reg,70250.04,70250.04
520,Eric Dick,SKC,GK,1,1,90,9,3,6,6.0,0/0,0,1,0,0,0.0,33.3,2019,reg,70250.04,73699.58
521,Matt Lampson,CLB,GK,1,1,90,7,3,4,4.0,0/0,0,1,0,0,0.0,42.9,2019,reg,70250.04,70250.04
522,Ryan Meara,RBNY,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0,2019,reg,132000.0,137000.0
523,Chris Seitz,DC,GK,1,1,90,3,2,1,1.0,1/1,1,0,0,0,100.0,66.7,2019,reg,165000.0,165000.0
524,Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,174999.96,191874.96
525,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70875.0,70875.0
526,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70875.0,70875.0
528,Aljaz Ivacic,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,150000.0,160000.0
529,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
530,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,150000.0,152500.0
531,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,95000.04,100862.54
532,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,57225.0,57225.0
533,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,57225.0,57225.0
534,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
536,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,60000.0,74800.0
537,Jimmy Hague,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,56250.0,56250.0
538,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
539,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70875.0,70875.0
540,Andrew Tarbell,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,200000.04,235000.04
541,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,72360.84,72360.84
542,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,56250.0,65000.0
543,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
544,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,56250.0,56250.0
545,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
546,Dayne St. Clair,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,74753.17
547,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,57225.0,57225.0
548,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70875.0,70875.0
549,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,100008.0,100008.0
550,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
551,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,71666.88,71666.88
552,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
553,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,57225.0,57225.0
554,Adam Grinwis,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70875.0,70875.0
555,Thomas Hasal,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,56250.0,66250.0
556,David Ochoa,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,70250.04,70250.04
557,Brad Guzan,ATL,GK,23,23,2070,91,59,30,1.3,0/0,6,13,4,6,26.1,64.8,2020,reg,730008.0,790008
558,Sean Johnson,NYC,GK,23,23,2070,107,81,25,1.09,3/4,12,8,3,7,52.2,75.7,2020,reg,465000,465000
559,Joe Willis,NSH,GK,23,23,2070,92,69,22,0.96,0/0,8,7,8,9,34.8,75.0,2020,reg,180000,187833
560,Marko Maric,HOU,GK,23,23,2070,122,79,40,1.74,3/3,4,10,9,3,17.4,64.8,2020,reg,450000,498250
561,Matt Turner,NE,GK,22,22,1980,90,68,24,1.09,1/1,8,7,7,6,36.4,75.6,2020,reg,200000,200000
562,Stefan Frei,SEA,GK,22,22,1980,83,60,23,1.05,2/2,11,5,6,6,50.0,72.3,2020,reg,500000,512500
563,Andre Blake,PHI,GK,21,21,1889,81,63,18,0.86,1/2,13,3,5,8,61.9,77.8,2020,reg,550008,600008
564,Tim Melia,SKC,GK,20,20,1784,77,56,21,1.05,0/2,11,5,3,7,55.0,72.7,2020,reg,350000,354167
565,Quentin Westberg,TOR,GK,20,20,1800,75,48,26,1.3,2/2,11,5,4,6,55.0,64.0,2020,reg,240000,253333
566,Clement Diop,MTL,GK,20,20,1800,110,73,36,1.8,2/3,7,11,2,3,35.0,66.4,2020,reg,120000,148500
567,Steve Clark,POR,GK,20,20,1800,94,64,29,1.45,1/2,10,4,6,5,50.0,68.1,2020,reg,250000,250000
568,Pedro Gallese,ORL,GK,19,19,1710,71,52,20,1.05,1/2,11,3,5,3,57.9,73.2,2020,reg,380000,380000
569,David Bingham,LA,GK,18,18,1620,87,52,35,1.94,3/5,5,9,4,3,27.8,59.8,2020,reg,450000,450000
570,Eloy Room,CLB,GK,17,17,1511,57,41,15,0.88,4/4,9,3,5,7,52.9,71.9,2020,reg,350004,404698
571,Bobby Shuttleworth,CHI,GK,17,17,1530,81,53,28,1.65,1/2,4,6,7,4,23.5,65.4,2020,reg,105000,115750
572,Bill Hamid,DC,GK,17,17,1530,88,55,32,1.88,2/3,3,10,4,2,17.6,62.5,2020,reg,500000.0,500000
573,Jimmy Maurer,DAL,GK,16,16,1392,68,54,13,0.81,2/2,6,4,5,7,37.5,79.4,2020,reg,137500,140000
574,Luis Robles,MIA,GK,15,15,1350,58,34,25,1.67,2/4,3,10,2,2,20.0,58.6,2020,reg,375000,395000
575,Andrew Putna,RSL,GK,15,15,1350,62,38,26,1.73,1/1,4,7,4,4,26.7,61.3,2020,reg,81375,81375
576,William Yarbrough,COL,GK,14,14,1260,69,48,20,1.43,2/2,6,4,4,4,42.9,69.6,2020,reg,120000,120000
577,Pablo Sisniega,LAFC,GK,14,14,1260,58,35,23,1.64,4/4,7,5,2,2,50.0,60.3,2020,reg,105000,105000
578,Ryan Meara,RBNY,GK,13,13,1142,55,39,16,1.23,3/3,5,4,4,3,38.5,70.9,2020,reg,237000,237000
579,Dayne St. Clair,MIN,GK,13,13,1170,63,48,12,0.92,0/2,6,2,5,6,46.2,76.2,2020,reg,81375,85895
580,Przemyslaw Tyton,CIN,GK,12,12,1071,48,30,18,1.5,1/1,2,7,3,5,16.7,62.5,2020,reg,272950,369638
581,Daniel Vega,SJ,GK,12,12,1080,79,42,37,3.08,3/4,2,6,4,3,16.7,53.2,2020,reg,248000,253000
582,David Jensen,RBNY,GK,11,10,928,41,25,15,1.5,0/0,4,5,1,1,36.4,61.0,2020,reg,324996,364631
583,JT Marcinkowski,SJ,GK,11,11,990,39,25,14,1.27,0/0,6,3,2,4,54.5,64.1,2020,reg,150000,162000
584,Spencer Richey,CIN,GK,10,9,819,34,19,15,1.67,1/1,1,7,1,2,10.0,55.9,2020,reg,81375,81375
585,Thomas Hasal,VAN,GK,9,8,752,50,35,14,1.75,1/1,4,4,0,1,44.4,70.0,2020,reg,63547.0,63547
586,John McCarthy,MIA,GK,8,8,720,31,19,10,1.25,2/2,4,3,1,1,50.0,61.3,2020,reg,105000,111583
587,Kenneth Vermeer,LAFC,GK,8,8,720,36,19,16,2.0,0/1,2,3,3,1,25.0,52.8,2020,reg,500000,506000
588,Evan Bush,VAN,GK,8,8,720,32,22,10,1.25,1/1,4,4,0,1,50.0,68.8,2020,reg,349000,411667
589,Andrew Tarbell,CLB,GK,7,6,559,24,17,6,1.0,2/2,3,3,0,2,42.9,70.8,2020,reg,190000,225000
590,Zac MacMath,RSL,GK,6,6,540,21,14,7,1.17,0/0,1,2,3,3,16.7,66.7,2020,reg,200000,200000
591,Chris Seitz,DC,GK,6,6,540,32,22,9,1.5,0/0,2,2,2,2,33.3,68.8,2020,reg,150000,150000
592,Kenneth Kronholm,CHI,GK,5,5,450,17,7,8,1.6,0/0,1,3,1,0,20.0,41.2,2020,reg,433200,496200
593,Tyler Miller,MIN,GK,5,5,450,19,13,6,1.2,2/2,3,0,2,1,60.0,68.4,2020,reg,375000,395938
594,Kyle Zobeck,DAL,GK,4,3,318,18,11,6,2.0,1/1,2,1,1,0,50.0,61.1,2020,reg,81375,81375
595,Maxime Crepeau,VAN,GK,4,4,328,22,12,10,2.5,1/1,1,3,0,1,25.0,54.5,2020,reg,225000,252500
597,Clint Irwin,COL,GK,4,4,360,22,14,8,2.0,0/1,2,2,0,0,50.0,63.6,2020,reg,168000,180707
598,Jonathan Klinsmann,LA,GK,4,4,360,30,17,11,2.75,1/1,1,3,0,1,25.0,56.7,2020,reg,81375,81375
599,Bryan Meredith,VAN,GK,3,3,270,27,20,10,3.33,0/0,0,3,0,0,0.0,74.1,2020,reg,81375,81375
600,Alex Bono,TOR,GK,3,3,270,16,16,0,0.0,0/1,2,0,1,3,66.7,100.0,2020,reg,400000,432000
602,James Pantemis,MTL,GK,3,3,270,24,17,7,2.33,0/0,1,2,0,0,33.3,70.8,2020,reg,81375,81375
603,Joe Bendik,PHI,GK,2,1,91,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2020,reg,200000,200000
604,Richard Sanchez,SKC,GK,2,1,104,5,2,4,4.0,0/0,1,1,0,0,50.0,40.0,2020,reg,175000,177500
606,Aljaz Ivacic,POR,GK,2,2,180,8,5,3,1.5,0/0,1,1,0,0,50.0,62.5,2020,reg,165000,175000
607,Bobby Edwards,CIN,GK,2,2,180,6,3,3,1.5,1/1,1,1,0,0,50.0,50.0,2020,reg,81375,81375
608,Matt Freese,PHI,GK,1,1,90,1,1,0,0.0,0/0,1,0,0,1,100.0,100.0,2020,reg,75000,82650
609,David Ochoa,RSL,GK,1,1,90,6,4,2,2.0,0/0,0,1,0,0,0.0,66.7,2020,reg,73763,73763
610,Phelipe Megiolaro,DAL,GK,1,1,90,9,6,3,3.0,0/0,0,1,0,0,0.0,66.7,2020,reg,100000,119000
611,Connor Sparrow,CHI,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2020,reg,81375,81375
612,Brad Knighton,NE,GK,1,1,90,6,5,1,1.0,0/0,0,0,1,0,0.0,83.3,2020,reg,130000,136750
613,Jeff Attinella,POR,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2020,reg,175000,187250
614,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
615,Cody Cropper,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,87542
616,Ben Lundt,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,84784
618,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
620,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,73763,82513
621,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,63547
622,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
623,Adrian Zendejas,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
624,Eric Lopez,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
625,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
626,Brady Scott,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,87611
627,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,87375
628,Kevin Silva,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,63547
629,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,125000,125000
630,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,110000,110000
631,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
632,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
633,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
634,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
635,John Pulskamp,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,66047
636,Jonathan Sirois,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,68230
637,Abraham Rodriguez,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,63547
638,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
641,Beckham Sunderland,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,67610
642,Isaac Boehmer,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,63547
643,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,75000,79800
644,Fred Emmings,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,69547
645,Emmanuel Ochoa,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,73759
646,Drake Callender,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,100000,100000
647,Elliot Panicco,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,63547,63547
648,Eric Dick,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,85020
649,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,reg,81375,81375
