,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
1623,obafemi martins,SEA,F,21,20,1805,15,6,42,28,2,0/1,8,7,0.75,35.7,2,4,2,0.3,18,48,11,2,0,66.67,2015,reg,2400000,3000000
1624,jozy altidore,TOR,F,25,21,1796,13,0,37,18,5,3/3,7,6,0.65,35.1,0,0,0,0.0,39,45,7,3,2,48.65,2015,reg,4750000,4750000
1625,ethan finlay,MIN,M,34,34,2790,12,13,53,28,3,0/0,9,3,0.39,22.6,4,9,4,0.42,28,25,26,0,0,52.83,2015,reg,135000,142500
1626,dom dwyer,ORL,F,30,28,2546,12,2,96,40,2,0/1,8,4,0.42,12.5,0,0,2,0.07,59,81,25,8,1,41.67,2015,reg,400000,518750
1627,will bruin,SEA,F,33,28,2414,11,4,49,25,4,0/0,7,4,0.41,22.4,0,3,1,0.15,32,31,13,2,0,51.02,2015,reg,140000,185000
1628,didier drogba,CIV,F,11,9,870,11,1,47,21,4,1/1,9,2,1.14,23.4,0,1,0,0.1,19,24,5,1,0,44.68,2015,reg,1666668,2166668
1629,benny feilhaber,KC ,M,32,30,2731,10,15,48,17,3,5/5,6,4,0.33,20.8,5,10,5,0.49,44,64,1,8,1,35.42,2015,reg,350000,362187.5
1630,clint dempsey,SEA,M-F,20,20,1742,10,10,61,27,4,1/1,7,3,0.52,16.4,4,5,5,0.52,18,39,5,1,0,44.26,2015,reg,3913008,4605941.5
1631,lloyd sam,NYR,M-F,31,27,2281,10,7,32,20,3,0/0,6,4,0.39,31.3,1,6,1,0.28,31,42,16,3,0,62.5,2015,reg,230000,240000
1632,krisztian nemeth,KC ,F,28,23,2037,10,6,58,20,5,0/0,5,5,0.44,17.2,1,4,2,0.27,19,36,8,3,0,34.48,2015,reg,250000,250000
1633,charlie davies,NE ,F,33,25,2163,10,4,49,26,1,0/0,6,4,0.42,20.4,2,1,3,0.17,32,33,20,1,0,53.06,2015,reg,78750,82759.53
1634,chris rolfe,DC ,F,31,30,2455,10,4,64,29,5,4/4,8,2,0.37,15.6,2,3,1,0.15,19,30,4,0,0,45.31,2015,reg,210000,225000
1635,octavio rivero,VAN,F,34,30,2734,10,3,101,41,5,3/3,7,3,0.33,9.9,2,1,2,0.1,59,73,21,3,0,40.59,2015,reg,890850,890850
1636,david accam,NSH,F,24,21,1865,10,2,67,35,2,0/0,4,6,0.48,14.9,1,2,0,0.1,37,50,21,4,1,52.24,2015,reg,650000,720937.5
1637,fabian castillo,DAL,M-F,30,28,2559,9,9,79,30,1,0/0,7,2,0.32,11.4,2,3,6,0.32,27,37,16,2,0,37.97,2015,reg,145000,160000
1638,ignacio piatti,MTL,M,26,26,2213,9,8,60,29,3,4/5,4,5,0.37,15.0,6,7,1,0.33,22,56,10,3,0,48.33,2015,reg,400000,400000
1639,mike grella,NYR,M,33,30,2364,9,7,52,21,2,0/0,5,4,0.34,17.3,3,4,3,0.27,30,25,7,3,0,40.38,2015,reg,60000,60000
1640,kaka,ORL,M,28,28,2439,9,7,56,21,1,4/5,5,4,0.33,16.1,0,2,5,0.26,18,36,4,6,1,37.5,2015,reg,6660000,7167500
1641,cj sapong,CHI,F,27,20,1897,9,4,44,21,2,0/0,5,4,0.43,20.5,1,1,3,0.19,38,52,9,2,0,47.73,2015,reg,125000,142000
1642,sacha kljestan,LA,M,33,33,2843,8,14,58,22,4,5/6,3,5,0.25,13.8,3,9,5,0.44,43,58,9,4,1,37.93,2015,reg,400000,537500
1643,javier morales,RSL,M,26,24,2124,8,12,50,20,3,2/3,5,3,0.34,16.0,3,7,5,0.51,37,59,6,3,1,40.0,2015,reg,300000,300000
1644,mauro diaz,DAL,M,24,24,1992,8,10,49,17,2,3/4,5,3,0.36,16.3,4,6,4,0.45,26,76,3,3,0,34.69,2015,reg,364000,442400
1645,federico higuain,DC,F,32,32,2724,8,9,73,28,1,1/2,5,3,0.26,11.0,3,6,3,0.3,27,41,9,6,1,38.36,2015,reg,1175000,1175000
1646,sebastien le toux,PHI,F,31,26,2379,8,6,50,25,2,1/1,4,4,0.3,16.0,2,5,1,0.23,21,22,12,4,0,50.0,2015,reg,275000,285228.13
1647,ricardo clark,HOU,M,30,30,2573,8,1,59,21,2,0/0,4,4,0.28,13.6,0,1,0,0.03,44,32,5,5,0,35.59,2015,reg,304000,337750
1648,dominic oduro,MTL,M,28,18,1671,8,0,50,20,1,0/0,5,3,0.43,16.0,0,0,0,0.0,9,36,14,4,0,40.0,2015,reg,250000,251666.67
1649,lee nguyen,MIA,M,32,31,2706,7,10,82,30,2,3/3,3,4,0.23,8.5,3,7,3,0.33,40,79,7,4,1,36.59,2015,reg,175000,193750
1650,kelyn rowe,NE,M,33,21,1924,7,6,51,24,2,0/0,3,4,0.33,13.7,1,3,3,0.28,38,35,4,1,0,47.06,2015,reg,140000,221000
1651,kekuta manneh,CIN,F,32,28,2424,7,6,82,33,3,0/0,2,5,0.26,8.5,1,4,2,0.22,20,26,11,3,0,40.24,2015,reg,82500,112000
1652,cristian techera,VAN,M,22,17,1571,7,5,38,18,2,0/0,5,2,0.4,18.4,2,3,2,0.29,17,33,9,4,0,47.37,2015,reg,60000,85000
1653,juan agudelo,MIA,F,32,20,1761,7,3,54,21,1,0/0,4,3,0.36,13.0,1,3,0,0.15,51,35,20,4,0,38.89,2015,reg,400000,427500
1654,kennedy igboananike,CHI,F,31,20,1796,7,3,66,22,1,0/0,4,3,0.35,10.6,1,1,2,0.15,35,52,14,4,0,33.33,2015,reg,800000,901666.67
1655,giles barnes,HOU,M,28,28,2474,7,3,75,22,3,0/1,7,0,0.25,9.3,1,2,1,0.11,35,62,11,5,0,29.33,2015,reg,247500,258375
1656,sebastian lletget,LA,M,20,17,1449,7,2,29,13,1,0/0,5,2,0.43,24.1,0,2,0,0.12,7,26,2,0,0,44.83,2015,reg,95000.04,100500.04
1657,michael barrios,DAL,M,26,19,1745,7,2,34,19,2,0/0,5,2,0.36,20.6,0,2,0,0.1,27,33,4,0,0,55.88,2015,reg,60000,60000
1658,alvaro saborio,DC ,F,26,22,1862,7,0,54,28,1,1/1,5,2,0.34,13.0,0,0,0,0.0,36,33,35,2,0,51.85,2015,reg,400000,493333.33
1659,justin meram,RSL,M,31,28,2230,6,5,75,27,2,0/0,4,2,0.24,8.0,1,3,2,0.2,27,41,7,3,0,36.0,2015,reg,165000,175000
1660,quincy amarikwa,CHI,F,31,24,2197,6,5,77,24,0,0/0,0,6,0.25,7.8,2,2,3,0.2,48,80,33,2,0,31.17,2015,reg,100000,100000
1661,patrick mullins,TOR,F,24,11,1040,6,4,38,14,1,1/1,3,3,0.52,15.8,0,3,1,0.35,18,25,7,2,0,36.84,2015,reg,80000,110000
1662,pedro morales,VAN,M,23,15,1429,6,4,43,17,1,2/2,3,3,0.38,14.0,3,3,1,0.25,11,18,6,3,1,39.53,2015,reg,1190000,1410900
1663,diego fagundez,NE,M,30,19,1735,6,4,44,17,4,0/0,4,2,0.31,13.6,2,3,1,0.21,30,14,3,3,0,38.64,2015,reg,125000,152200
1664,gyasi zardes,CLB,F,29,27,2454,6,4,45,13,0,0/0,3,3,0.22,13.3,1,4,0,0.15,28,34,2,3,0,28.89,2015,reg,150000,223000
1665,david texeira,DAL,F,22,19,1402,6,3,36,11,3,0/0,2,4,0.39,16.7,1,1,2,0.19,26,17,6,1,0,30.56,2015,reg,338000,338000
1666,jack mcinerney,CLB,F,22,15,1359,6,1,35,16,3,0/0,5,1,0.4,17.1,0,1,0,0.07,19,15,14,6,0,45.71,2015,reg,270000,334166.67
1667,jeff larentowicz,ATL,M,29,29,2610,6,0,34,12,1,5/6,3,3,0.21,17.6,0,0,0,0.0,27,29,0,5,0,35.29,2015,reg,265000,271000
1668,fabian espindola,DC ,F,17,15,1346,5,7,45,17,2,0/1,5,0,0.33,11.1,0,6,1,0.47,11,17,14,2,1,37.78,2015,reg,175000,175000
1669,tony tchani,CLB,M,32,32,2787,5,6,42,16,0,0/0,3,2,0.16,11.9,3,2,4,0.19,73,40,0,5,0,38.1,2015,reg,170000,195000
1670,michael bradley,TOR,M,25,25,2250,5,6,57,17,0,0/0,4,1,0.2,8.8,3,6,0,0.24,22,22,0,3,0,29.82,2015,reg,6000000,6500000
1671,darlington nagbe,CLB,M,33,33,2842,5,5,50,16,1,0/1,4,1,0.16,10.0,2,4,1,0.16,11,87,3,0,0,32.0,2015,reg,244000,263000
1672,thomas mcnamara,HOU,M,19,15,1324,5,3,23,12,1,0/0,4,1,0.34,21.7,0,2,1,0.2,18,21,1,3,0,52.17,2015,reg,60000,71500
1673,sebastian jaime,RSL,F,20,17,1267,5,2,20,8,0,0/0,4,1,0.36,25.0,0,1,1,0.14,28,22,6,2,1,40.0,2015,reg,200000,266666.67
1674,jairo arrieta,DC ,F,27,15,1264,5,2,28,16,2,0/0,4,1,0.36,17.9,2,1,1,0.14,46,22,32,1,0,57.14,2015,reg,150000,165000
1675,kevin doyle,COL,F,20,16,1489,5,2,34,13,4,0/0,4,1,0.3,14.7,2,0,2,0.12,22,24,7,3,0,38.24,2015,reg,1125000,1170000
1677,tesho akindele,ORL,F-M,28,14,1502,5,1,29,15,3,1/1,3,2,0.3,17.2,0,1,0,0.06,20,15,8,2,0,51.72,2015,reg,70000,87500
1678,blas perez,DAL,F,23,14,1274,5,1,33,16,3,0/0,5,0,0.35,15.2,0,1,0,0.07,23,28,6,2,1,48.48,2015,reg,350000,374250
1679,fernando aristeguieta,PHI,F,21,14,1251,5,1,50,20,0,0/0,1,4,0.36,10.0,0,1,0,0.07,22,20,10,3,0,40.0,2015,reg,350004,350004
1680,chad barrett,SEA,F,18,9,715,5,0,18,8,2,0/0,2,3,0.63,27.8,0,0,0,0.0,9,4,7,1,0,44.44,2015,reg,95000,100000
1681,vincent nogueira,PHI,M,27,22,1993,5,0,25,10,2,0/0,4,1,0.23,20.0,0,0,0,0.0,16,37,0,6,0,40.0,2015,reg,330000,330000
1682,alan gordon,LA ,F,29,7,977,5,0,34,11,3,0/0,3,2,0.46,14.7,0,0,0,0.0,40,19,10,7,0,32.35,2015,reg,175000,175000
1683,brad davis,HOU,M,30,29,2596,4,10,45,16,1,2/2,3,1,0.14,8.9,3,8,2,0.35,28,27,7,2,0,35.56,2015,reg,400000,445500
1684,kwadwo poku,NYC,M,27,6,978,4,7,18,10,0,0/0,2,2,0.37,22.2,2,5,2,0.64,18,9,1,4,0,55.56,2015,reg,60000,63045.09
1685,juninho,LA ,M,34,32,2857,4,7,28,13,2,1/2,3,1,0.13,14.3,2,6,1,0.22,29,33,0,5,0,46.43,2015,reg,350000,350000
1686,teal bunbury,NE,F,30,20,1787,4,5,26,10,2,0/0,3,1,0.2,15.4,0,2,3,0.25,50,37,2,6,0,38.46,2015,reg,195000,240000
1687,vicente sanchez,COL,F,30,16,1399,4,5,41,16,0,1/1,2,2,0.26,9.8,1,4,1,0.32,18,28,7,1,0,39.02,2015,reg,210000,286666.67
1688,joao plata,RSL,F,19,17,1431,4,4,37,14,1,1/1,2,2,0.25,10.8,1,2,2,0.25,6,23,11,1,0,37.84,2015,reg,150000,150000
1689,andres romero,MTL,M,27,23,1875,4,4,37,16,3,0/0,3,1,0.19,10.8,1,1,3,0.19,30,33,4,8,0,43.24,2015,reg,100000,100000
1690,maximiliano urruti,MTL,F,30,12,1082,4,3,39,15,3,0/0,3,1,0.33,10.3,0,1,2,0.25,22,18,15,3,0,38.46,2015,reg,200000.04,200000.04
1691,gabriel torres,PAN,M-F,25,19,1595,4,3,42,14,0,0/0,1,3,0.23,9.5,2,1,2,0.17,20,29,25,1,0,33.33,2015,reg,262000,274500
1692,devon sandoval,RSL,F,30,17,1606,4,2,28,13,2,0/0,2,2,0.22,14.3,2,1,1,0.11,24,22,8,2,0,46.43,2015,reg,60000,60000
1693,lamar neagle,SEA,M,31,23,2028,4,2,40,20,2,0/0,1,3,0.18,10.0,1,2,0,0.09,29,20,19,2,0,50.0,2015,reg,165000,167833.33
1694,kevin ellis,KC ,D,27,26,2335,4,1,11,7,1,0/0,3,1,0.15,36.4,1,1,0,0.04,31,19,2,5,0,63.64,2015,reg,60000,63150
1695,anatole abang,NYR,F,17,3,392,4,1,15,8,0,0/0,1,3,0.92,26.7,1,0,1,0.23,18,10,11,1,0,53.33,2015,reg,50000,50000
1697,marco pappa,SEA,M,20,17,1468,3,6,37,15,2,0/0,3,0,0.18,8.1,1,2,4,0.37,17,38,2,2,0,40.54,2015,reg,75000,75000
1698,dillon powers,COL,M,32,25,2235,3,6,43,16,1,0/1,0,3,0.12,7.0,2,3,3,0.24,36,51,4,3,0,37.21,2015,reg,245000,275000
1700,giovani dos santos,LA ,M,10,10,803,3,5,22,10,0,0/0,3,0,0.34,13.6,3,3,2,0.56,10,13,3,0,0,45.45,2015,reg,4000008,5750008
1701,shea salinas,SJ,M,34,29,2621,3,5,36,10,1,0/0,2,1,0.1,8.3,2,2,3,0.17,29,30,5,2,0,27.78,2015,reg,145000,148333.33
1703,patrick nyarko,CHI,F-M,19,14,1222,3,4,19,8,0,0/0,1,2,0.22,15.8,0,1,3,0.29,16,53,2,4,0,42.11,2015,reg,200000,215750
1706,mehdi ballouchy,NYC,M,19,16,1259,3,2,13,7,0,0/0,3,0,0.21,23.1,0,1,1,0.14,28,27,1,5,0,53.85,2015,reg,68250,83250
1707,cordell cato,SJ ,F,28,18,1814,3,2,18,7,1,0/0,1,2,0.15,16.7,0,0,2,0.1,23,14,3,0,0,38.89,2015,reg,60000,60000
1709,luke mulholland,RSL,M,29,27,2329,3,2,26,9,2,0/0,1,2,0.12,11.5,0,1,1,0.08,37,36,0,7,0,34.62,2015,reg,82500,83750
1710,kellyn acosta,COL,M,21,19,1606,3,2,29,8,0,0/0,3,0,0.17,10.3,1,1,1,0.11,24,23,0,4,1,27.59,2015,reg,60000,84000
1711,dillon serna,COL,M,15,8,680,3,1,13,7,1,0/0,1,2,0.4,23.1,1,1,0,0.13,9,2,3,2,0,53.85,2015,reg,60000,73000
1712,conor casey,PHI,F,14,2,340,3,1,14,8,1,0/0,0,3,0.79,21.4,0,1,0,0.26,8,4,7,2,0,57.14,2015,reg,180000,180000
1713,perry kitchen,LA,M,33,31,2831,3,1,14,6,1,0/0,3,0,0.1,21.4,0,1,0,0.03,66,33,1,6,0,42.86,2015,reg,172000,257450
1714,paulo nagamura,KC ,M,21,17,1484,3,1,22,6,2,0/0,3,0,0.18,13.6,0,1,0,0.06,26,10,3,6,0,27.27,2015,reg,230000,230000
1715,darren mattocks,VAN,F,22,9,848,3,1,25,9,1,0/0,2,1,0.32,12.0,0,1,0,0.11,11,16,6,2,0,36.0,2015,reg,180000,272000
1716,frank lampard,NYC,M,10,9,733,3,1,27,4,1,0/0,1,2,0.37,11.1,0,1,0,0.12,8,16,1,0,0,14.81,2015,reg,6000000,6000000
1717,mix diskerud,NYC,M,27,23,2073,3,1,32,12,1,0/0,2,1,0.13,9.4,0,1,0,0.04,32,32,2,3,0,37.5,2015,reg,750000,750000
1718,chris pontius,DC ,M,23,17,1534,3,1,35,11,2,0/1,3,0,0.18,8.6,0,1,0,0.06,18,33,2,1,0,31.43,2015,reg,365000,396000
1719,bryan rochez,ORL,F,16,0,265,3,0,11,7,2,0/0,1,2,1.02,27.3,0,0,0,0.0,6,7,8,2,0,63.64,2015,reg,200000,279500
1720,nat borchers,POR,D,31,31,2790,3,0,15,8,1,0/0,1,2,0.1,20.0,0,0,0,0.0,13,6,3,0,0,53.33,2015,reg,235000,245000
1721,jack jewsbury,POR,M,26,18,1719,3,0,18,7,2,0/0,1,2,0.16,16.7,0,0,0,0.0,12,16,0,2,0,38.89,2015,reg,120000,137500
1722,diego valeri,POR,M,22,20,1713,2,8,67,22,1,0/1,1,1,0.11,3.0,3,3,5,0.42,30,25,8,5,0,32.84,2015,reg,550000,550000
1724,chris tierney,NE ,D-M,31,29,2613,2,6,25,13,1,0/0,2,0,0.07,8.0,1,3,3,0.21,16,11,3,3,1,52.0,2015,reg,110000,113333.33
1725,scott caldwell,NE,M,34,32,2882,2,5,14,5,0,0/0,1,1,0.06,14.3,2,4,1,0.16,42,34,0,3,0,35.71,2015,reg,60000,67500
1726,baggio husidic,LA ,M,24,21,1924,2,5,21,5,0,0/0,2,0,0.09,9.5,1,4,1,0.23,24,31,3,4,0,23.81,2015,reg,125000,125000
1727,graham zusi,SKC,M,25,22,1986,2,5,28,5,0,0/0,1,1,0.09,7.1,3,3,2,0.23,19,32,4,1,0,17.86,2015,reg,650000,682102.27
1728,nick deleon,TOR,M,29,25,2221,2,5,33,8,0,0/0,2,0,0.08,6.1,1,5,0,0.2,18,18,5,1,0,24.24,2015,reg,116259,151259
1729,jose villarreal,LA ,M,16,9,698,2,4,17,6,1,0/0,2,0,0.26,11.8,0,2,2,0.52,13,16,2,1,0,35.29,2015,reg,60000,61875
1730,ryan hollingshead,DAL,M,33,25,2171,2,3,13,4,0,0/0,0,2,0.08,15.4,1,2,1,0.12,34,35,7,4,0,30.77,2015,reg,60000,60000
1731,ned grabavoy,NYC,M,26,22,1884,2,3,15,8,0,0/0,2,0,0.1,13.3,2,3,0,0.14,23,37,2,2,1,53.33,2015,reg,200000,215000
1732,razvan cocis,CHI,M,26,22,2005,2,3,15,6,0,0/0,1,1,0.09,13.3,0,2,1,0.13,21,29,0,2,0,40.0,2015,reg,220000,226666.67
1733,robbie findley,TOR,F,25,18,1476,2,3,28,8,1,0/0,1,1,0.12,7.1,0,2,1,0.18,18,35,4,2,0,28.57,2015,reg,225000,255500
1734,steven gerrard,LA ,M,13,13,1164,2,3,30,10,1,0/0,2,0,0.15,6.7,1,2,1,0.23,11,15,0,0,0,33.33,2015,reg,6200004,6332504
1735,justin morrow,TOR,D,32,31,2756,2,2,9,4,0,0/0,2,0,0.07,22.2,1,1,1,0.07,31,31,3,3,1,44.44,2015,reg,170000,179562.5
1736,collen warner,COL,M,29,20,1747,2,2,15,4,0,0/0,1,1,0.1,13.3,0,0,2,0.1,45,17,0,7,0,26.67,2015,reg,129937,157437
1737,eric ayuk,PHI,M,28,14,1320,2,2,15,5,0,0/0,1,1,0.14,13.3,1,1,1,0.14,19,56,4,3,1,33.33,2015,reg,50000,50000
1738,pedro ribeiro,ORL,M-F,18,8,732,2,2,19,10,0,0/0,1,1,0.25,10.5,0,0,2,0.25,11,14,10,0,0,52.63,2015,reg,60000,60000
1739,fatai alashe,CIN,M,28,27,2317,2,2,19,5,0,0/0,2,0,0.08,10.5,0,0,2,0.08,32,30,4,5,1,26.32,2015,reg,60000,76250
1740,sanna nyassi,SJ ,M,28,19,1482,2,2,19,5,2,0/0,1,1,0.12,10.5,0,0,2,0.12,40,21,3,6,0,26.32,2015,reg,120000,126250
1741,atiba harris,DAL,D,27,20,1849,2,2,19,3,1,0/0,0,2,0.1,10.5,0,0,2,0.1,39,8,1,8,0,15.79,2015,reg,130000,130000
1742,clarence goodson,SJ ,D,28,28,2398,2,2,20,7,2,0/0,2,0,0.08,10.0,0,1,1,0.08,26,32,1,7,0,35.0,2015,reg,315000,342000
1744,darwin ceren,HOU,M,26,25,2254,2,2,29,7,0,0/0,2,0,0.08,6.9,1,0,2,0.08,53,33,0,6,0,24.14,2015,reg,66000,96437.5
1745,jason johnson,CHI,F,20,5,610,2,2,30,8,1,0/0,1,1,0.3,6.7,1,1,1,0.3,15,7,2,1,1,26.67,2015,reg,90000,131000
1747,laurent ciman,TOR,D,27,27,2405,2,2,35,8,1,0/0,2,0,0.07,5.7,0,0,2,0.07,45,19,1,8,3,22.86,2015,reg,370000,401666.67
1748,aurelien collin,PHI,D,28,27,2407,2,1,10,3,0,0/0,2,0,0.07,20.0,0,0,1,0.04,36,30,5,2,1,30.0,2015,reg,500000,525000
1749,adrian winter,ORL,M-F,9,7,600,2,1,11,5,0,0/0,2,0,0.3,18.2,1,1,0,0.15,15,13,0,2,1,45.45,2015,reg,180000,198333.33
1750,diego chara,POR,M,28,28,2479,2,1,11,7,1,0/0,1,1,0.07,18.2,0,1,0,0.04,63,48,0,8,1,63.64,2015,reg,170000,170000
1751,leonel miranda,HOU,M,20,11,1015,2,1,14,6,0,0/0,2,0,0.18,14.3,0,0,1,0.09,11,20,1,3,0,42.86,2015,reg,60000,60000
1752,victor ulloa,MIA,M,33,33,2915,2,1,14,5,1,0/0,1,1,0.06,14.3,0,0,1,0.03,41,19,0,4,0,35.71,2015,reg,60000,60000
1753,damien perrinelle,NYR,D,28,27,2410,2,1,16,4,0,0/0,0,2,0.07,12.5,1,1,0,0.04,42,20,1,11,0,25.0,2015,reg,132000,132000
1754,marcelo sarvas,COL,M,25,21,1869,2,1,20,6,0,0/0,1,1,0.1,10.0,0,0,1,0.05,31,33,0,4,0,30.0,2015,reg,360000,425000
1755,zach pfeffer,PHI,M,21,11,988,2,1,27,10,1,0/0,2,0,0.18,7.4,0,0,1,0.09,17,13,1,0,1,37.04,2015,reg,60000,60000
1756,olmes garcia,RSL,F,33,15,1542,2,1,32,15,1,0/0,2,0,0.12,6.3,0,1,0,0.06,29,34,10,4,0,46.88,2015,reg,130000,130000
1757,robert earnshaw,VAN,F,9,0,43,2,0,2,2,1,0/0,2,0,4.19,100.0,0,0,0,0.0,1,1,0,0,0,100.0,2015,reg,100000,100000
1758,anthony wallace,NYR,D,6,6,540,2,0,5,2,0,0/0,2,0,0.33,40.0,0,0,0,0.0,6,6,1,1,0,40.0,2015,reg,60000,60000
1759,ike opara,MIN,D,6,6,534,2,0,7,2,1,0/0,1,1,0.34,28.6,0,0,0,0.0,6,4,0,0,0,28.57,2015,reg,115000,121250
1760,bobby burling,COL,D,22,22,1958,2,0,9,3,0,0/0,2,0,0.09,22.2,0,0,0,0.0,32,22,1,9,1,33.33,2015,reg,132500,140000
1761,wandrille lefevre,MTL,D,11,11,990,2,0,9,4,0,0/0,1,1,0.18,22.2,0,0,0,0.0,9,3,0,1,0,44.44,2015,reg,60000,60000
1762,alex,CHI,M,16,9,827,2,0,12,3,1,0/0,2,0,0.22,16.7,0,0,0,0.0,12,13,0,1,0,25.0,2015,reg,142000,142000
1763,raul rodriguez,HOU,D,27,27,2364,2,0,13,4,0,0/0,2,0,0.08,15.4,0,0,0,0.0,34,13,0,7,1,30.77,2015,reg,325000,354333.33
1764,anibal godoy,NSH,M-D,10,10,894,2,0,14,4,1,0/0,1,1,0.2,14.3,0,0,0,0.0,23,24,0,5,0,28.57,2015,reg,204000,204000
1765,steven birnbaum,DC,D,22,21,1822,2,0,14,5,0,0/0,1,1,0.1,14.3,0,0,0,0.0,29,21,2,5,0,35.71,2015,reg,66000,96000
1766,conor doyle,DC ,F,25,10,1148,2,0,16,7,1,0/0,1,1,0.16,12.5,0,0,0,0.0,33,9,2,5,0,43.75,2015,reg,60000,61250
1767,dominique badji,NSH,F,15,9,812,2,0,18,7,1,0/0,0,2,0.22,11.1,0,0,0,0.0,24,8,14,1,0,38.89,2015,reg,50000,50000
1768,bobby boswell,DC ,D,34,33,2975,2,0,20,4,0,0/0,1,1,0.06,10.0,0,0,0,0.0,21,14,1,5,0,20.0,2015,reg,200000,200000
1769,kendall waston,CIN,D,28,28,2486,2,0,36,15,1,0/0,2,0,0.07,5.6,0,0,0,0.0,47,20,3,11,1,41.67,2015,reg,225000,226250
1770,cristian maidana,PHI,M,28,25,2121,1,15,37,18,0,0/0,1,0,0.04,2.7,3,9,6,0.64,9,9,14,1,1,48.65,2015,reg,203500,217250
1771,dax mccarty,NSH,M,32,32,2777,1,8,18,4,0,0/0,1,0,0.03,5.6,2,5,3,0.26,35,49,1,6,0,22.22,2015,reg,220000,262500
1772,jonathan osorio,TOR,M,29,26,2235,1,7,21,7,0,0/0,0,1,0.04,4.8,2,7,0,0.28,22,31,4,1,0,33.33,2015,reg,145000,152599.68
1773,benoit cheyrou,TOR,M,28,28,2408,1,7,33,7,0,0/0,0,1,0.04,3.0,3,3,4,0.26,44,21,1,5,0,21.21,2015,reg,249999.96,259333.29
1774,rodney wallace,POR,D,32,23,1978,1,7,40,12,0,0/0,1,0,0.05,2.5,4,3,4,0.32,37,18,11,3,0,30.0,2015,reg,165000,190000
1775,taylor kemp,DC ,D,27,25,2261,1,6,7,2,0,0/0,1,0,0.04,14.3,1,4,2,0.24,30,19,1,6,0,28.57,2015,reg,60000,60000
1776,jorge villafana,POR,F,33,33,2929,1,5,15,7,0,0/0,1,0,0.03,6.7,2,3,2,0.15,26,34,4,3,0,46.67,2015,reg,130000,135000
1777,marco donadel,MTL,M,25,24,2000,1,5,19,8,0,0/0,1,0,0.05,5.3,3,5,0,0.23,42,20,0,13,2,42.11,2015,reg,190003.92,226670.59
1779,luke boden,ORL,D,25,24,2238,1,4,5,1,0,0/0,0,1,0.04,20.0,1,4,0,0.16,26,11,2,6,1,20.0,2015,reg,75000,75000
1781,jalil anibaba,NSH,D,16,14,1265,1,4,11,4,0,0/0,1,0,0.07,9.1,1,4,0,0.28,10,4,2,1,0,36.36,2015,reg,120000,150000
1782,kemar lawrence,NYR,D,23,23,2000,1,4,12,4,0,0/0,1,0,0.05,8.3,4,3,1,0.18,23,21,5,2,0,33.33,2015,reg,60000,60000
1783,roger espinoza,SKC,M,17,17,1484,1,4,19,5,0,0/0,0,1,0.06,5.3,0,2,2,0.24,28,18,0,3,0,26.32,2015,reg,750000,750000
1784,tyrone mears,SEA,D,33,33,2960,1,3,7,3,1,0/0,1,0,0.03,14.3,1,2,1,0.09,29,12,1,3,0,42.86,2015,reg,165000,174000
1785,mauro rosales,VAN,M,24,19,1512,1,3,11,4,0,0/0,1,0,0.06,9.1,1,2,1,0.18,15,46,3,0,0,36.36,2015,reg,215000,265000
1786,luke moore,TOR,F,15,6,625,1,3,12,6,0,0/0,1,0,0.14,8.3,2,2,1,0.43,9,9,2,2,0,50.0,2015,reg,215000,235500
1787,omar gonzalez,TOR,D,30,29,2577,1,3,13,6,1,0/0,1,0,0.03,7.7,1,3,0,0.1,34,16,0,3,0,46.15,2015,reg,1200000,1450000
1788,robbie rogers,LA ,D,27,26,2315,1,3,14,5,0,0/0,1,0,0.04,7.1,0,2,1,0.12,33,27,0,6,0,35.71,2015,reg,175000,191666.67
1789,fabinho,PHI,D,26,23,2106,1,3,14,3,0,0/0,1,0,0.04,7.1,1,2,1,0.13,32,35,0,3,0,21.43,2015,reg,114000,118500
1790,tranquillo barnetta,PHI,M,11,9,765,1,3,19,7,1,0/0,1,0,0.12,5.3,1,1,2,0.35,14,24,0,2,0,36.84,2015,reg,624000,661500
1791,lucas melano,POR,F,13,8,725,1,3,27,10,0,0/0,1,0,0.12,3.7,1,2,1,0.37,18,19,2,4,0,37.04,2015,reg,799992,799992
1792,lucas pittinari,COL,M,29,25,2241,1,3,34,5,1,0/0,1,0,0.04,2.9,1,3,0,0.12,65,17,3,6,0,14.71,2015,reg,190000,210000
1794,jose goncalves,NE ,D,29,28,2480,1,2,6,3,1,0/0,1,0,0.04,16.7,1,0,2,0.07,33,26,1,4,2,50.0,2015,reg,450000,479375
1795,ignacio maganto,LA ,M,13,6,524,1,2,8,3,0,0/0,0,1,0.17,12.5,0,1,1,0.34,9,10,0,0,0,37.5,2015,reg,60000,60000
1796,brad evans,SEA,D-M,28,27,2345,1,2,9,4,1,1/1,1,0,0.04,11.1,1,2,0,0.08,23,23,0,4,0,44.44,2015,reg,276665,302666.25
1797,nathan sturgis,HOU,M,18,15,1292,1,2,9,3,0,0/0,0,1,0.07,11.1,0,2,0,0.14,18,19,0,2,1,33.33,2015,reg,71250,75375
