,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
67,dane richards,NY ,M,29,26,2402,4,3,30,11,2,0/0,3,1,0.15,13.3,0,3,0,0.11,60,26,11,9,0,36.67,2012,reg,170000,181500
68,davy arnaud,MTL,M,33,31,2765,4,3,40,13,1,0/0,4,0,0.13,10.0,1,2,1,0.1,42,74,5,7,0,32.5,2012,reg,275000,290000
69,calen carr,HOU,F,26,17,1512,4,2,29,11,2,0/0,3,1,0.24,13.8,1,2,0,0.12,22,29,5,6,0,37.93,2012,reg,78554,82804
70,macoumba kandji,HOU,F,29,21,1630,4,2,34,16,1,0/0,3,1,0.22,11.8,0,2,0,0.11,46,26,23,3,0,47.06,2012,reg,135000,162988.37
71,milovan mirosevic,CLB,M,26,25,2140,4,2,46,14,2,1/2,2,2,0.17,8.7,1,2,0,0.08,27,49,3,2,0,30.43,2012,reg,200000,223333.33
73,antoine hoppenot,PHI,F,25,3,817,4,1,18,8,0,0/0,2,2,0.44,22.2,0,0,1,0.11,14,25,18,2,0,44.44,2012,reg,44000,44000
74,jacob peterson,KC ,F,23,9,942,4,1,24,11,1,0/0,1,3,0.38,16.7,1,1,0,0.1,7,7,2,0,1,45.83,2012,reg,81000,85833.33
75,justin meram,RSL,M,22,11,960,4,1,27,10,2,0/0,2,2,0.38,14.8,1,0,1,0.09,22,15,1,3,0,37.04,2012,reg,46200,70575
76,andrew wenger,MTL,D-M,23,7,823,4,0,20,9,2,0/0,3,1,0.44,20.0,0,0,0,0.0,13,7,9,0,0,45.0,2012,reg,100000,202000
77,juan pablo angel,CHV,F,19,9,1004,4,0,50,18,1,1/1,2,2,0.36,8.0,0,0,0,0.0,16,5,10,0,0,36.0,2012,reg,350000,600000
78,mauro rosales,SEA,M,27,25,2031,3,13,16,5,1,0/0,2,1,0.13,18.8,5,7,6,0.58,20,44,2,1,0,31.25,2012,reg,200000,225000
79,marvin chavez,SJ ,M,27,23,1910,3,13,42,14,0,0/0,2,1,0.14,7.1,3,5,8,0.61,38,32,5,5,0,33.33,2012,reg,150000,150000
80,javier morales,RSL,M,29,23,2119,3,9,31,12,2,0/0,2,1,0.13,9.7,5,5,4,0.38,42,69,4,5,0,38.71,2012,reg,425000,477500
81,jan gunnar solli,NY ,D,24,21,1865,3,5,16,9,1,0/0,2,1,0.14,18.8,2,4,1,0.24,16,10,1,2,0,56.25,2012,reg,185000,185000
82,kelyn rowe,NE,M,30,21,1897,3,5,43,20,1,0/0,1,2,0.14,7.0,1,3,2,0.24,20,24,5,1,0,46.51,2012,reg,75000,156000
83,shalrie joseph,CHV,M,30,27,2561,3,4,22,6,0,0/0,1,2,0.11,13.6,1,0,4,0.14,42,31,0,7,0,27.27,2012,reg,495000,554333.33
84,jack jewsbury,POR,M,32,31,2765,3,4,35,10,2,0/0,2,1,0.1,8.6,0,4,0,0.13,36,35,1,5,0,28.57,2012,reg,180000,189750
85,miller bolanos,ECU,M,24,21,1858,3,4,68,20,1,0/0,2,1,0.15,4.4,1,1,3,0.19,45,43,3,5,0,29.41,2012,reg,48000,48000
86,will johnson,RSL,D,26,23,2087,3,3,36,18,1,0/0,2,1,0.13,8.3,0,0,3,0.13,24,28,0,4,1,50.0,2012,reg,243750,243750
87,dax mccarty,NSH,M,33,33,2918,3,3,40,10,1,0/0,2,1,0.09,7.5,1,2,1,0.09,40,57,3,6,0,25.0,2012,reg,174375,194375
88,juan agudelo,MIA,F,24,17,1570,3,3,44,16,0,1/1,2,1,0.17,6.8,0,1,2,0.17,36,26,6,1,0,36.36,2012,reg,70000,100000
89,emilio renteria,CLB,F,27,16,1542,3,3,50,14,2,0/0,2,1,0.18,6.0,2,2,1,0.18,31,42,17,4,0,28.0,2012,reg,132000,133875
90,tony cascio,COL,M,29,18,1692,3,3,53,19,2,0/0,2,1,0.16,5.7,1,3,0,0.16,24,24,6,1,0,35.85,2012,reg,44000,77750
91,drew moor,COL,D,34,34,3060,3,2,17,8,1,0/0,3,0,0.09,17.6,1,2,0,0.06,25,32,3,3,0,47.06,2012,reg,200004,212004
92,barry robson,VAN,M,17,16,1421,3,2,32,9,1,1/1,3,0,0.19,9.4,0,2,0,0.13,31,56,4,2,0,28.12,2012,reg,439999.92,596499.92
93,gershon koffie,VAN,M,29,28,2503,3,2,39,11,1,0/0,3,0,0.11,7.7,1,2,0,0.07,59,70,1,9,0,28.21,2012,reg,90000,92500
94,brek shea,MIA,D,21,20,1747,3,2,55,20,1,2/2,2,1,0.15,5.5,1,0,2,0.1,28,20,14,1,0,36.36,2012,reg,310000,354000
95,gonzalo segares,CHI,D,31,31,2682,3,1,15,8,1,0/0,1,2,0.1,20.0,1,1,0,0.03,30,31,2,5,2,53.33,2012,reg,210000,217750
96,danny mwanga,PHI,F,27,12,1198,3,1,18,7,0,0/0,1,2,0.23,16.7,0,1,0,0.08,16,10,8,0,0,38.89,2012,reg,250000,356250
97,aurelien collin,PHI,D,29,28,2490,3,1,28,7,1,0/0,2,1,0.11,10.7,0,0,1,0.04,57,28,5,6,0,25.0,2012,reg,210000,216250
98,edson buddle,LA ,F,19,10,969,3,1,31,9,0,0/0,1,2,0.28,9.7,0,1,0,0.09,37,16,9,0,0,29.03,2012,reg,225000,225000
99,andre akpan,COL,F,15,4,434,3,0,9,5,1,1/1,3,0,0.62,33.3,0,0,0,0.0,6,8,2,0,0,55.56,2012,reg,57200,57200
100,markus holgersson,NY ,D,31,31,2790,3,0,11,5,1,0/0,2,1,0.1,27.3,0,0,0,0.0,23,15,0,2,0,45.45,2012,reg,190000,190000
101,matt hedges,DAL,D,28,23,2022,3,0,12,5,0,0/0,0,3,0.13,25.0,0,0,0,0.0,20,22,1,1,0,41.67,2012,reg,44000,59000
102,austin berry,CHI,D,28,28,2520,3,0,14,5,1,0/0,1,2,0.11,21.4,0,0,0,0.0,16,19,0,2,0,35.71,2012,reg,44000,59000
103,terry dunfield,TOR,M,30,30,2493,3,0,24,11,1,0/0,1,2,0.11,12.5,0,0,0,0.0,49,19,7,7,0,45.83,2012,reg,86000,86000
104,jeff larentowicz,ATL,M,32,32,2779,3,0,61,16,0,2/2,2,1,0.1,4.9,0,0,0,0.0,61,41,0,8,1,26.23,2012,reg,200000,206000
105,david ferreira,DAL,M,17,16,1427,2,9,21,9,2,0/1,1,1,0.13,9.5,1,4,5,0.57,7,53,2,3,0,42.86,2012,reg,600000,705000
106,martin rivero,COL,M,30,30,2597,2,8,61,19,1,0/0,0,2,0.07,3.3,2,5,3,0.28,23,61,4,3,0,31.15,2012,reg,50004,50004
107,brian mullan,COL,D,28,25,2116,2,7,16,6,0,0/0,2,0,0.09,12.5,2,3,4,0.3,26,33,5,1,0,37.5,2012,reg,152000,160335
108,ramiro corrales,SJ ,M,22,19,1667,2,7,20,6,0,0/0,2,0,0.11,10.0,3,5,2,0.38,21,21,1,7,1,30.0,2012,reg,173250,183875
109,brandon barklage,NY ,D,19,16,1360,2,5,9,2,0,0/0,2,0,0.13,22.2,0,3,2,0.33,20,7,0,1,0,22.22,2012,reg,44000,45566.67
110,chris tierney,NE ,D-M,28,26,2379,2,5,22,10,1,0/0,0,2,0.08,9.1,3,3,2,0.19,15,13,0,4,0,45.45,2012,reg,73125,74791.67
111,sebastian grazzini,CHI,M,14,14,1103,2,5,30,15,0,1/2,2,0,0.16,6.7,1,2,3,0.41,18,22,2,4,0,50.0,2012,reg,50400,50400
112,justin mapp,MTL,M,27,21,1641,2,5,34,14,1,0/0,1,1,0.11,5.9,2,4,1,0.27,8,20,6,0,0,41.18,2012,reg,210000,218333.33
113,brandon mcdonald,DC ,D,33,33,2963,2,4,18,3,1,0/0,2,0,0.06,11.1,1,2,2,0.12,29,16,1,4,0,16.67,2012,reg,220000,258250
114,danny cruz,DC ,M-F,28,24,1868,2,4,39,10,0,1/1,1,1,0.1,5.1,0,1,3,0.19,30,40,4,2,0,25.64,2012,reg,100000,106500
115,kosuke kimura,COL,D,29,28,2363,2,3,6,3,0,0/0,2,0,0.08,33.3,1,2,1,0.11,20,22,0,2,0,50.0,2012,reg,71466,71466
117,zach loyd,DAL,D,32,31,2696,2,3,15,3,0,0/0,2,0,0.07,13.3,2,2,1,0.1,36,31,0,4,2,20.0,2012,reg,73975,118600
118,reggie lambe,TOR,M,27,22,1845,2,3,22,13,0,0/0,2,0,0.1,9.1,0,1,2,0.15,24,29,4,3,0,59.09,2012,reg,60000,62500
119,adam moffat,HOU,M,23,22,1930,2,3,28,7,1,0/0,2,0,0.09,7.1,1,1,2,0.14,28,19,0,2,1,25.0,2012,reg,59535,59535
120,khari stephenson,SJ ,M,27,10,1052,2,3,31,10,0,1/1,1,1,0.17,6.5,0,2,1,0.26,28,3,1,2,0,32.26,2012,reg,190000,203333.33
121,conor casey,COL,F,18,13,1156,2,3,38,12,0,0/0,1,1,0.16,5.3,0,3,0,0.23,25,8,13,1,0,31.58,2012,reg,400000,400000
122,todd dunivant,LA ,D,29,29,2544,2,2,8,2,1,0/0,2,0,0.07,25.0,0,2,0,0.07,18,17,3,2,0,25.0,2012,reg,140000,146750
123,daniel paladini,CHI,M,15,7,691,2,2,13,5,1,0/0,1,1,0.26,15.4,0,0,2,0.26,12,5,0,1,0,38.46,2012,reg,82500,86978.25
124,alain rochat,VAN,D,27,27,2323,2,2,16,6,0,0/0,2,0,0.08,12.5,1,2,0,0.08,38,23,1,7,0,37.5,2012,reg,170000,170000
125,diego fagundez,NE,M,20,8,770,2,2,18,9,1,0/0,2,0,0.23,11.1,1,1,1,0.23,6,6,4,0,0,50.0,2012,reg,55000,56000
126,jonny steele,RSL,M,28,11,1179,2,2,19,4,1,0/0,1,1,0.15,10.5,0,1,1,0.15,29,14,1,6,0,21.05,2012,reg,44000,47562.5
127,lamar neagle,MTL,M,23,11,1086,2,2,23,5,1,0/0,2,0,0.17,8.7,0,1,1,0.17,10,12,6,1,0,21.74,2012,reg,44000,44000
129,fernando cardenas,NE ,F,27,9,1016,2,2,27,10,1,0/0,1,1,0.18,7.4,0,1,1,0.18,13,14,5,1,1,37.04,2012,reg,99996,99996
130,tony tchani,CLB,M,22,14,1331,2,2,30,5,1,0/0,1,1,0.14,6.7,1,1,1,0.14,23,21,0,3,0,16.67,2012,reg,105000,209000
131,torsten frings,TOR,M,20,20,1669,2,2,30,10,1,0/1,1,1,0.11,6.7,1,2,0,0.11,20,17,1,5,0,33.33,2012,reg,2000000,2413666.67
132,nick labrocca,CHV,M,29,26,2293,2,2,36,14,1,0/0,0,2,0.08,5.6,0,1,1,0.08,27,33,5,3,0,38.89,2012,reg,95288,97788
133,marcelo sarvas,LA ,M,27,22,1951,2,2,41,11,0,0/0,1,1,0.09,4.9,1,2,0,0.09,57,49,1,5,0,26.83,2012,reg,135000,161875
134,lewis neal,DC ,M,18,7,717,2,1,7,2,2,0/0,2,0,0.25,28.6,1,1,0,0.13,3,3,1,1,0,28.57,2012,reg,44004,47004
135,kenny miller,VAN,F,13,8,716,2,1,11,4,0,0/0,1,1,0.25,18.2,1,1,0,0.13,9,7,9,0,0,36.36,2012,reg,1221816,1239316
136,blake brettschneider,NE ,F,17,10,892,2,1,17,9,0,0/0,0,2,0.2,11.8,0,1,0,0.1,10,11,10,0,0,52.94,2012,reg,33756,33756
137,victor bernardez,SJ ,D,24,24,2088,2,1,19,4,1,0/0,2,0,0.09,10.5,1,0,1,0.04,30,17,1,6,0,21.05,2012,reg,100000,100000
